language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
kamw1239,-,-,v,a,-,r,o,-,-,b,-,-,3,l,a
psik1239,-,-,v,a,-,r,-,-,-,-,-,-,3,-,-
psik1239,-,-,v,a,-,-,-,-,-,-,-,-,-,-,-
psik1239,-,-,v,a,-,g,-,-,-,-,-,-,3,-,-
nyim1251,-,-,w,u,-,L,-,-,-,-,-,-,e,-,-
molo1266,-,-,v,-,-,-,-,-,-,-,-,-,a,y,-
muya1243,-,-,L,-,-,-,3,m,-,b,-,-,o,h,-
muya1243,-,-,l,-,-,-,3,m,-,-,-,-,o,d,-
muya1243,-,-,k,-,-,-,-,-,-,-,-,-,o,-,-
wuzl1236,-,a,k,a,t,s,e,-,-,k,-,-,e,l,-
dugw1239,-,-,k,a,-,L,-,-,-,-,-,-,a,m,-
mere1246,-,-,k,a,t,s,a,-,-,k,-,-,a,y,-
gemz1238,-,-,-,i,t,s,a,-,-,k,-,-,a,-,-
nort3047,-,-,-,-,-,L,u,m,-,b,-,-,a,-,-
cuvo1236,-,-,d,a,-,T,a,-,-,k,i,y,a,-,-
buwa1243,-,a,t,a,-,L,o,N,-,g,-,-,o,l,-
mbed1242,-,a,k,e,-,l,e,-,-,k,-,-,-,-,-
budu1265,-,-,k,3,-,l,a,-,-,h,-,-,3,-,-
lagw1237,n,a,z,-,-,-,-,-,-,-,-,-,e,-,-
mser1242,d,a,z,a,-,l,a,r,a,k,-,-,3,-,-
mpad1242,-,-,g,o,-,-,-,-,-,h,-,-,e,-,-
malg1250,-,a,g,-,-,-,-,-,-,-,-,-,e,-,-
