language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26
dugw1239,-,k,u,r,o,w,g,-,a,r,m,-,-,-,3,-,-,-,-,-,-,f,e,-,d,-
mere1246,-,k,u,r,o,-,g,-,3,r,-,-,-,-,e,y,e,-,-,-,-,f,a,-,d,-
nort3047,-,k,u,r,u,n,g,-,a,n,m,-,-,-,u,-,-,-,-,-,-,f,a,-,d,-
cuvo1236,-,k,u,r,a,w,d,-,a,-,p,-,-,-,3,y,a,N,a,n,a,f,a,-,d,-
buwa1243,-,w,-,-,-,-,-,-,o,-,m,-,-,-,o,h,o,-,-,N,-,f,o,-,d,-
gava1241,-,w,-,-,-,-,-,-,o,-,m,-,-,-,o,h,o,-,-,N,-,f,o,-,d,-
mbed1242,-,w,-,-,-,-,-,-,o,-,m,m,e,d,e,k,-,-,-,n,-,f,a,-,d,-
lagw1237,x,k,-,-,a,n,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,g,a,-,d,e
mser1242,-,k,-,-,a,n,d,-,-,-,-,-,-,-,3,-,-,-,-,n,-,k,a,-,d,e
afad1236,-,k,-,-,a,n,g,-,-,-,-,-,-,-,o,-,-,-,-,-,-,g,a,-,d,e
mpad1242,-,k,-,-,a,n,g,-,-,-,-,-,-,-,o,-,-,-,-,-,-,g,a,-,d,e
malg1250,-,k,-,-,a,n,g,-,-,-,-,-,-,-,a,-,-,-,-,-,-,g,a,n,d,e
chad1249,-,-,-,-,a,-,r,b,a,t,-,-,-,-,a,-,-,-,-,-,-,T,a,-,r,-
