language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
molo1266,-,a,p,-,a,-,z,a,-,-,n,-,-,-,-,-
muya1243,-,e,w,-,-,-,-,e,-,-,n,-,-,i,-,-
wuzl1236,-,-,-,-,-,-,-,a,-,-,n,a,w,o,-,-
vame1236,-,-,m,-,i,-,d,i,-,-,n,-,y,a,-,-
dugw1239,-,-,m,-,3,-,v,3,-,-,n,-,-,e,-,N
mere1246,-,-,m,-,3,-,v,e,-,-,n,-,-,e,-,N
nort3047,-,-,n,-,-,-,g,e,-,-,d,a,b,o,-,-
mbuk1243,-,-,-,-,a,-,v,a,-,-,d,a,w,a,-,n
cuvo1236,-,-,t,-,a,-,v,3,-,-,n,-,-,a,-,y
buwa1243,-,-,-,-,n,-,y,u,-,-,n,-,-,o,-,-
gava1241,-,-,-,-,o,-,z,o,-,-,n,-,-,o,-,-
mbed1242,-,-,m,u,m,-,b,u,-,-,r,-,k,o,-,h
kamw1239,-,-,m,-,-,-,b,3,-,-,r,-,-,o,-,-
psik1239,-,-,x,-,3,t,w,e,-,-,d,-,-,i,-,-
psik1239,-,-,m,-,-,-,b,3,-,-,d,-,-,a,-,-
suku1272,-,-,L,-,a,-,w,-,-,-,-,-,-,a,-,-
lagw1237,-,-,d,-,-,-,-,3,v,e,d,-,-,3,-,-
mser1242,-,-,z,-,-,-,-,u,-,-,d,-,-,o,-,-
mpad1242,-,-,l,-,-,-,-,u,-,-,d,-,-,o,-,-
malg1250,-,-,t,-,-,-,-,u,-,-,d,-,-,a,-,-
budu1265,-,-,T,-,-,-,-,u,-,-,d,-,u,3,-,-
mbar1260,-,-,p,-,-,-,-,o,-,-,s,-,k,o,-,y
marg1266,-,-,n,-,-,-,-,-,-,-,-,-,-,a,-,-
bata1314,-,-,t,-,-,-,-,u,-,-,k,-,-,o,n,g
chad1249,-,a,m,-,-,-,-,i,-,-,s,-,-,-,-,-
gaan1243,y,e,n,-,-,-,-,e,-,-,t,-,-,a,-,-
