language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
molo1266,-,-,-,a,-,n,d,3,-,-,-,r,-,-,-,-,-,a,-
dugw1239,n,d,-,e,-,n,d,e,-,-,-,r,-,-,-,-,-,-,-
nort3047,-,-,-,a,-,n,d,e,-,-,-,r,-,-,-,-,-,-,-
cuvo1236,-,-,-,-,-,n,d,a,-,-,-,r,-,s,l,a,l,a,k
mbed1242,-,w,-,a,-,n,d,-,-,-,-,-,-,-,-,-,-,a,N
kamw1239,-,-,-,-,-,-,-,-,-,-,u,n,-,-,-,-,-,o,-
suku1272,-,-,-,i,-,n,d,a,N,k,u,l,u,k,w,a,T,i,-
lagw1237,-,n,-,-,-,-,d,-,-,-,-,r,-,-,-,-,-,a,-
mser1242,-,k,-,o,-,-,l,-,-,-,-,y,-,-,-,-,-,i,-
afad1236,-,k,-,o,-,-,l,-,-,-,-,y,-,-,-,-,-,i,-
mpad1242,-,k,-,o,-,-,l,-,-,-,-,y,-,-,-,-,-,i,-
malg1250,-,k,-,o,-,-,-,-,-,-,-,y,-,-,-,-,-,i,-
budu1265,-,k,w,o,-,-,l,-,-,-,-,y,-,-,-,-,-,i,-
mbar1260,-,-,b,i,z,e,r,-,-,t,a,y,-,a,h,a,-,y,-
mbar1260,-,7,b,u,-,-,l,-,-,-,-,-,-,-,-,-,-,i,-
bata1314,-,b,y,a,-,-,-,-,-,-,-,r,-,-,-,-,-,a,-
chad1249,-,f,-,u,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-
