language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
kamw1239,-,-,m,a,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nyim1251,-,-,n,a,-,-,g,-,-,-,-,-,-,-,w,-,-,a,y,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
dugw1239,-,-,m,3,-,-,d,-,-,-,-,i,y,a,m,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mere1246,-,-,m,a,-,-,l,a,m,a,r,i,b,3,b,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gemz1238,-,-,m,a,-,-,l,-,-,-,-,-,-,a,m,-,-,-,-,a,r,t,s,i,-,-,r,-,-,-,-,-,-,-,-,-
cuvo1236,d,3,m,a,-,-,N,-,-,-,t,a,p,a,p,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
gava1241,-,-,L,i,n,o,v,-,-,-,-,-,-,o,n,o,w,o,l,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mbed1242,-,-,m,i,-,-,d,-,-,-,-,-,-,i,m,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
budu1265,-,-,b,-,-,-,-,-,-,-,-,-,-,a,b,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kanu1281,-,-,b,-,-,-,-,-,-,-,-,-,-,a,w,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lagw1237,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,g,3,n,a,m,n,a,b,a,n,3,n
mser1242,-,-,m,3,-,-,t,-,-,-,-,3,r,3,-,-,-,-,-,-,n,t,-,3,g,3,r,a,m,-,-,-,-,-,-,-
afad1236,-,-,b,-,-,-,-,-,-,-,-,-,-,a,b,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mpad1242,-,-,b,-,-,-,-,-,-,-,-,-,-,a,b,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
malg1250,-,-,m,-,-,-,-,-,-,-,-,-,-,a,d,-,-,-,-,a,n,d,-,3,g,-,r,a,m,-,-,-,-,-,-,-
maje1243,-,-,-,-,-,-,-,-,-,-,-,-,-,a,f,-,-,-,m,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
