language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
kamw1239,m,b,3,r,i,t,3,t,-,-,-,-,-,-,-,-,-,-,3,-,b,a,-,-,t,y,i
nyim1251,-,-,-,-,-,k,a,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
dugw1239,-,-,-,-,-,m,3,m,b,e,k,e,y,f,a,h,a,n,a,-,b,a,-,-,-,-,-
mere1246,n,-,-,-,-,d,-,z,-,-,-,-,-,-,-,-,-,-,a,-,k,a,-,-,-,-,-
mere1246,-,-,-,-,-,r,3,r,-,-,-,-,-,-,-,-,-,-,3,-,k,a,-,-,-,-,-
gemz1238,-,-,-,-,-,m,e,n,-,-,-,-,-,-,-,-,-,-,3,-,k,3,d,e,d,-,i
nort3047,-,-,-,-,-,g,u,y,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
cuvo1236,m,-,-,-,a,h,3,l,-,-,-,-,-,-,-,-,-,-,a,-,f,a,-,-,-,-,-
buwa1243,-,-,-,-,-,f,e,-,-,-,-,-,-,-,-,-,-,-,-,-,f,e,-,-,d,-,-
gava1241,-,-,-,-,-,h,o,-,-,-,-,-,-,-,-,-,-,-,-,-,h,o,-,-,y,-,-
mbed1242,-,-,-,-,-,k,3,N,-,-,-,-,-,-,-,-,-,-,-,-,g,a,-,-,w,-,-
lagw1237,-,-,-,-,-,x,u,d,-,-,-,-,-,-,-,-,-,-,u,n,h,e,-,-,-,-,-
mser1242,-,-,-,-,-,p,i,-,-,-,-,-,-,-,-,-,-,-,a,-,k,a,-,-,w,-,-
mpad1242,-,-,-,-,-,g,a,-,-,-,-,-,-,-,-,-,-,-,-,-,y,o,-,-,-,-,-
malg1250,-,-,-,-,-,l,e,-,-,-,-,-,-,-,-,-,-,-,-,-,t,3,-,-,n,-,-
bata1314,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,y,e,-,-,t,-,-
