language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
lama1288,k,-,w,-,a,n,-,d,e,g,-,-,e,-
nyim1251,-,-,w,-,a,-,-,r,-,k,i,m,a,-
muya1243,-,-,-,-,e,h,i,m,-,-,-,-,e,y
dugw1239,-,-,h,-,a,y,3,g,-,-,-,-,a,y
mere1246,-,-,d,-,a,y,-,d,-,-,-,-,a,y
gemz1238,-,-,-,-,3,n,-,d,-,-,-,-,a,-
nort3047,-,-,k,-,i,-,-,t,-,-,-,-,e,-
cuvo1236,-,-,T,-,u,-,-,w,-,-,-,-,e,y
gava1241,-,-,v,-,o,-,-,n,-,-,-,-,o,-
mbed1242,-,-,v,-,3,-,-,n,-,-,-,-,e,y
budu1265,n,-,d,3,a,-,-,g,-,-,-,-,u,-
kanu1281,n,-,d,-,a,-,-,w,-,-,-,-,u,-
lagw1237,-,-,g,-,a,-,-,n,-,-,-,-,e,-
mser1242,-,-,k,-,a,-,-,r,-,-,-,-,o,-
mpad1242,-,-,g,-,a,-,-,r,-,-,-,-,o,-
malg1250,y,a,g,-,a,-,-,r,-,-,-,-,-,-
