language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24
molo1266,-,-,-,-,g,-,-,3,-,-,-,-,-,z,-,-,-,-,-,-,-,-,o,-
muya1243,-,-,e,-,h,-,-,3,-,-,-,-,r,l,-,-,-,-,-,-,-,-,i,N
wuzl1236,-,-,a,k,w,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-
vame1236,-,-,-,-,h,-,-,u,-,-,-,-,-,l,-,a,-,-,s,-,a,s,e,-
dugw1239,-,-,-,-,w,-,-,u,-,-,-,-,-,r,-,e,s,-,d,-,3,b,a,-
nort3047,n,d,u,-,g,-,-,u,-,-,-,-,-,r,-,-,-,-,d,-,u,b,a,-
mbuk1243,-,z,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-
cuvo1236,-,d,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,h,-,-,w,a,d
buwa1243,-,-,-,-,-,-,-,u,-,-,-,-,-,l,-,e,-,-,s,-,-,-,-,-
gava1241,-,-,-,-,w,-,-,3,-,-,-,-,-,l,-,i,-,-,S,-,-,-,-,-
mbed1242,m,-,-,-,b,-,-,u,d,a,w,a,N,r,-,i,-,-,s,d,a,w,a,N
kamw1239,-,-,-,-,g,-,-,u,-,-,-,-,-,l,-,3,-,-,T,-,-,-,i,-
suku1272,-,-,-,-,g,-,-,u,-,-,-,-,-,l,-,3,S,i,S,-,-,-,i,-
lagw1237,-,-,-,-,x,-,-,u,-,-,-,-,-,d,-,u,-,-,s,-,-,-,3,-
mser1242,-,-,-,-,h,-,-,3,-,-,-,-,-,d,-,3,-,-,s,-,-,-,-,-
afad1236,-,-,-,-,b,-,-,3,-,-,-,-,-,r,m,a,-,-,r,-,-,-,e,-
mpad1242,-,-,-,-,d,-,-,u,-,-,-,-,-,g,-,u,-,-,s,-,-,-,e,-
mbar1260,-,-,-,-,7,a,g,i,-,-,-,-,-,l,-,i,-,-,s,-,-,-,-,-
mbar1260,-,-,-,-,7,a,g,i,-,-,-,-,-,l,-,i,-,-,s,-,-,-,-,-
marg1265,-,-,-,-,h,-,-,u,-,-,-,-,-,l,-,-,-,-,S,-,-,-,i,-
bata1314,-,d,3,-,g,-,-,3,-,-,-,-,-,r,-,-,-,-,t,-,-,-,o,-
