language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
kamw1239,-,-,t,-,l,-,-,i,-,-,-,-,-,-,-,-
psik1239,-,-,-,-,L,-,-,u,-,-,-,-,-,-,-,-
suku1272,-,-,-,-,b,-,-,a,-,-,-,-,-,-,-,-
nyim1251,-,-,-,-,L,-,-,u,m,-,-,-,-,-,-,-
nyim1251,-,-,-,-,L,-,-,u,m,-,-,-,-,-,-,-
molo1266,-,-,-,-,L,-,-,a,m,-,-,-,-,-,-,-
muya1243,-,-,-,-,d,-,-,3,b,-,3,-,-,l,o,-
dugw1239,-,-,-,-,L,-,-,a,m,-,-,-,-,-,-,-
mere1246,m,3,z,e,l,-,-,e,-,-,-,-,-,-,-,-
mere1246,-,-,z,3,l,-,-,-,-,-,-,-,-,-,-,-
gemz1238,-,-,-,-,L,-,-,a,m,-,-,-,-,-,-,-
gemz1238,-,-,-,-,L,-,-,a,m,-,-,-,-,-,-,-
mbuk1243,-,-,-,-,L,-,-,3,m,-,a,-,-,y,-,-
nort3047,-,-,-,-,L,-,-,i,m,-,e,-,-,d,-,-
cuvo1236,m,e,z,e,l,-,-,e,-,-,-,-,-,-,-,-
buwa1243,-,-,-,-,L,-,-,o,m,-,-,-,-,-,-,-
gava1241,-,-,-,-,L,-,-,3,m,-,-,-,-,-,-,-
mbed1242,-,-,-,-,-,-,-,-,m,-,i,-,-,y,a,-
bald1241,-,-,-,-,s,-,-,3,m,-,a,-,-,i,-,-
mbar1260,-,-,-,-,L,-,-,i,m,-,-,-,-,-,-,-
kanu1281,-,-,-,-,s,-,-,u,-,-,-,-,-,-,-,-
lagw1237,-,-,-,-,L,-,-,3,m,-,i,-,-,-,-,-
mser1242,-,-,-,-,s,-,-,3,m,-,-,-,-,-,-,-
afad1236,-,-,-,-,L,-,-,3,m,-,-,-,-,-,-,-
mpad1242,-,-,-,-,S,-,-,i,m,-,u,-,-,-,-,-
malg1250,-,-,-,-,L,-,-,3,m,-,-,-,-,-,-,-
masl1241,-,-,-,-,L,-,-,3,m,s,3,w,a,w,u,n
zina1234,-,-,-,-,s,-,-,3,m,-,-,-,-,-,-,-
maje1243,-,-,-,-,s,-,-,i,m,-,e,-,-,-,-,-
bata1314,-,-,k,-,w,-,-,a,k,-,e,-,-,-,-,-
dghw1239,-,-,-,-,y,a,x,a,-,-,-,-,-,-,-,-
