language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
wuzl1236,-,-,-,m,3,r,a,-,-,-,-,r,a,y,-
vame1236,a,d,3,w,-,s,a,-,-,-,-,r,a,y,-
dugw1239,-,-,-,-,-,L,a,-,m,-,-,r,e,-,-
mere1246,-,-,-,z,3,h,a,-,m,-,-,-,-,-,-
nort3047,-,-,-,-,-,-,-,-,m,b,u,N,-,-,-
mbuk1243,-,-,-,-,-,-,i,-,-,-,-,d,e,-,-
cuvo1236,-,-,-,-,-,-,-,-,n,-,-,d,e,y,-
buwa1243,-,-,-,t,-,-,o,-,m,-,-,-,o,-,-
gava1241,-,-,-,w,-,-,3,-,n,-,-,-,3,k,-
mbed1242,n,-,-,d,-,-,-,-,Z,-,-,-,e,-,-
kamw1239,-,-,-,k,-,-,3,-,m,-,-,-,a,-,-
psik1239,-,-,-,k,-,-,3,-,m,-,-,-,a,-,-
suku1272,-,-,-,k,-,-,3,-,m,-,-,-,a,-,-
lagw1237,n,-,-,g,-,-,u,-,n,-,-,i,a,l,-
mser1242,-,-,-,p,-,-,u,-,s,-,-,-,a,-,-
afad1236,-,-,-,b,-,-,u,k,s,-,-,-,a,-,-
mpad1242,-,-,-,f,-,-,3,-,s,-,-,k,a,-,-
malg1250,-,-,-,b,-,-,u,-,s,-,-,-,a,-,-
masl1241,-,-,-,b,-,-,u,-,s,-,-,-,a,-,-
budu1265,-,-,-,b,-,-,a,-,h,-,-,-,a,-,-
maje1243,-,-,-,y,-,-,a,-,-,-,-,-,a,d,e
mbar1260,-,-,-,-,-,-,-,-,r,-,-,-,e,-,-
marg1266,-,-,-,b,-,-,a,-,m,-,-,-,a,-,-
chad1249,-,-,-,w,-,-,-,-,-,-,-,-,a,d,Z
