language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
wuzl1236,k,-,3,-,l,a,m,-,a,s,a,-,r,a,-
dugw1239,b,-,u,-,d,-,n,-,-,g,a,-,r,a,w
cuvo1236,b,-,a,-,L,-,N,-,-,g,a,-,r,a,w
buwa1243,g,w,u,-,l,a,m,n,a,s,a,-,r,a,-
mbed1242,k,-,3,-,l,e,m,-,-,s,3,-,r,-,-
kamw1239,b,-,a,n,d,-,-,-,-,-,a,n,g,-,-
lagw1237,-,-,-,-,d,-,-,-,-,-,a,-,r,-,-
mser1242,-,-,-,-,d,-,-,-,-,-,a,-,r,-,-
mpad1242,b,-,3,n,d,-,-,-,-,-,3,-,g,3,-
malg1250,b,-,3,n,d,-,-,-,-,-,3,-,g,3,-
mbar1260,g,-,u,-,r,-,-,-,-,-,-,-,l,u,m
chad1249,b,-,u,n,d,-,-,-,-,-,u,-,g,-,-
