language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
kamw1239,Z,i,-,n,-,k,3,-,-,-,-,-,-,-
kamw1239,Z,i,-,n,i,k,3,-,g,w,o,-,-,-
lama1288,v,-,-,-,-,-,3,-,r,-,a,-,-,-
molo1266,-,-,-,n,-,g,a,-,l,-,a,-,-,-
molo1266,-,-,-,n,-,g,o,-,l,-,o,-,-,-
muya1243,-,-,-,N,-,g,-,-,-,-,o,-,-,-
wuzl1236,-,-,-,N,-,g,i,-,-,-,-,-,-,-
wuzl1236,-,-,-,N,-,g,a,-,r,-,a,-,-,-
wuzl1236,-,-,-,m,-,b,a,-,r,-,a,g,a,r
mbuk1243,-,-,-,-,-,-,-,-,m,-,a,-,-,-
mbuk1243,-,-,-,n,-,g,3,-,m,-,a,-,-,y
mbuk1243,-,-,-,-,-,-,-,-,m,-,a,-,-,y
gava1241,-,-,-,-,-,v,3,-,l,-,-,-,-,-
mbar1260,-,-,-,-,-,h,o,-,y,-,-,-,-,-
mpad1242,-,-,-,s,i,g,3,e,n,s,e,-,-,-
mpad1242,-,-,-,t,3,g,3,e,n,s,e,-,-,-
mpad1242,-,-,-,t,3,-,-,-,n,h,e,-,-,-
gaan1243,p,e,7,n,-,g,3,-,r,t,a,-,-,-
