language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
dugw1239,-,-,-,-,m,a,-,-,r,-,k,o,y,-,a,L,3,k,a,-,r,-,-,a,y
dugw1239,-,-,-,-,m,3,p,e,n,-,g,e,r,-,-,L,3,k,a,-,r,-,-,a,y
mere1246,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,g,u,-,d,-,-,3,r
mere1246,-,-,-,-,m,a,-,-,l,a,m,a,r,m,a,t,a,k,a,-,d,-,-,a,y
gemz1238,-,-,-,-,m,a,-,-,l,a,m,a,r,-,-,-,-,g,u,-,d,-,-,3,r
nort3047,-,-,t,u,b,a,-,-,-,-,m,i,z,-,-,-,-,-,i,-,l,-,-,e,n
cuvo1236,w,a,t,-,m,a,-,-,w,-,-,a,l,-,-,m,a,t,a,b,w,-,-,a,-
mbed1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,o,-,d,-,Z,3,-
budu1265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,T,i,-,r,-,-,i,-
kanu1281,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,3,-,r,a,m,i,-
lagw1237,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-,k,u,-,d,-,-,e,-
mser1242,-,-,-,-,m,-,-,-,b,-,-,e,-,-,-,-,-,-,-,-,z,-,w,e,-
afad1236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,t,3,n,a,-
mpad1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,t,a,n,a,-
malg1250,-,-,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,b,-,-,-,3,l,3,m
maje1243,-,-,-,-,-,-,-,-,l,-,-,a,-,-,-,-,-,k,u,-,d,-,-,e,-
