language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
vame1236,-,-,-,m,e,n,-,-,-,-,e,-,l,-,a,k,a,-
dugw1239,-,-,-,l,-,-,3,-,-,v,a,N,l,-,3,v,a,N
mere1246,-,-,-,g,e,h,3,-,-,v,a,-,d,k,a,b,o,-
nort3047,-,-,-,k,-,-,u,-,-,t,u,m,-,-,-,t,a,-
cuvo1236,m,a,n,y,-,-,a,-,-,h,a,-,l,-,e,h,e,y
buwa1243,-,-,-,-,-,s,3,-,-,p,-,-,-,-,e,k,-,-
gava1241,-,-,-,-,-,-,-,-,-,b,o,-,r,-,o,f,-,-
mbed1242,-,-,-,-,-,-,a,-,-,b,3,-,d,-,a,w,a,N
kamw1239,-,-,-,-,-,-,-,-,-,-,-,n,d,-,i,r,a,-
lagw1237,-,-,-,t,-,-,3,-,k,w,a,-,s,-,-,-,e,-
mser1242,-,-,-,d,-,-,a,r,k,w,a,-,s,-,-,-,e,-
mpad1242,-,-,k,7,-,-,e,-,-,-,-,-,-,-,-,-,-,-
malg1250,-,-,-,d,-,-,a,-,-,w,a,-,l,-,-,-,-,-
budu1265,-,-,-,k,-,-,3,-,-,-,a,-,d,-,u,g,u,-
