language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
molo1266,n,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-
dugw1239,m,a,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,y,-
nort3047,-,-,T,-,-,-,-,-,i,-,-,-,-,f,-,-,-,e,-,-
mbuk1243,n,-,y,-,-,-,-,-,a,-,-,-,-,h,-,-,-,a,y,-
cuvo1236,n,-,y,-,-,-,-,-,a,-,-,-,-,h,-,-,-,a,-,-
gava1241,n,d,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-
mbed1242,-,d,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-
kamw1239,n,t,y,-,-,-,-,-,a,-,-,-,-,S,-,-,-,i,-,-
psik1239,n,t,i,-,-,-,-,-,-,-,-,-,-,S,-,-,-,e,-,-
lama1288,-,t,-,-,-,-,-,-,-,-,-,-,-,s,x,u,r,a,-,-
lagw1237,-,-,z,u,n,u,n,w,a,-,-,-,-,t,-,-,-,3,n,-
mser1242,-,-,z,-,-,-,-,-,3,-,-,-,-,t,-,-,-,3,n,-
afad1236,-,t,s,-,-,-,-,-,a,f,-,-,-,t,-,-,-,3,n,-
mpad1242,-,-,s,-,-,-,-,-,a,-,-,-,-,t,-,-,-,3,n,-
malg1250,-,-,s,-,-,-,-,-,e,-,-,-,-,t,-,-,-,3,n,-
budu1265,-,-,y,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,y,-
bata1314,n,-,z,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
dghw1239,n,d,z,-,-,-,-,-,3,g,i,n,d,z,-,-,-,3,g,e
