language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
nyim1251,-,-,l,-,-,a,-,-,b,-,-,a,-,-
dugw1239,-,-,b,-,-,a,m,-,b,-,-,a,-,-
mere1246,-,-,w,-,-,u,r,-,b,-,-,e,-,z
gemz1238,l,a,b,a,r,a,b,i,b,i,N,a,-,-
nort3047,-,-,m,-,-,a,m,-,b,-,-,a,-,-
cuvo1236,-,-,m,-,-,a,m,-,b,-,-,a,-,-
mbed1242,N,-,g,-,-,a,-,-,l,-,-,a,-,w
budu1265,-,-,n,-,-,i,-,-,y,-,-,a,r,i
kanu1281,-,-,n,-,-,-,-,-,y,-,-,a,r,i
lagw1237,-,-,m,-,-,3,-,-,s,-,-,3,-,-
mser1242,-,-,m,-,-,a,-,-,b,-,-,a,-,-
afad1236,-,-,b,-,-,a,-,-,b,-,-,a,-,-
mpad1242,-,-,b,-,-,a,-,-,b,-,-,a,-,-
malg1250,-,-,b,-,-,a,-,-,b,-,-,a,-,-
chad1249,-,-,h,-,-,i,-,-,y,-,-,e,-,-
zina1234,-,-,l,-,-,a,-,-,b,-,-,a,-,-
