language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
kamw1239,-,w,s,i,-,-,m,b,a,g,-,i,n,a,-,-,-,-,-,-,-,-
psik1239,-,-,-,-,-,-,-,-,-,g,-,3,n,a,-,-,-,-,-,-,-,-
nyim1251,-,-,-,-,-,-,-,-,-,b,-,a,l,a,-,-,-,-,-,-,-,-
molo1266,-,-,-,-,-,-,m,-,-,-,-,-,-,e,-,-,-,-,y,-,-,-
wuzl1236,-,-,-,-,-,-,m,-,a,-,w,u,d,i,-,-,-,-,y,a,-,-
wuzl1236,-,-,-,-,-,-,g,-,-,-,-,-,-,u,-,-,-,-,n,a,k,w
vame1236,-,-,-,-,-,-,m,-,-,-,-,-,-,3,d,-,z,a,d,a,-,y
dugw1239,-,-,-,-,-,-,m,-,-,-,-,-,-,e,-,-,-,-,y,-,-,-
dugw1239,-,-,-,-,-,-,m,-,-,-,-,-,-,e,-,-,-,-,y,-,-,-
mere1246,-,-,-,-,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-
gemz1238,-,-,-,-,-,-,m,-,-,-,-,-,-,e,d,e,f,e,l,e,-,-
nort3047,-,-,-,-,-,-,m,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-
cuvo1236,-,-,-,-,-,-,m,-,e,g,w,e,d,e,-,-,-,-,y,-,-,-
buwa1243,-,-,-,-,-,-,m,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
buwa1243,-,-,-,-,-,-,L,-,-,-,-,-,-,o,-,-,-,-,p,-,-,-
gava1241,-,-,-,-,-,-,L,-,-,-,-,-,-,o,-,-,-,-,p,-,-,-
mbed1242,N,g,-,a,-,-,l,-,-,-,-,-,-,a,-,-,-,-,w,-,-,-
mofu1248,-,-,-,-,-,-,m,-,-,-,-,-,-,e,-,-,-,-,y,-,-,-
mofu1248,-,-,-,-,-,-,m,-,-,-,-,-,-,e,-,-,-,-,y,-,-,-
budu1265,-,-,-,-,-,-,m,-,-,-,-,3,n,a,-,-,-,-,-,-,-,-
kanu1281,-,k,-,a,l,i,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
lagw1237,-,l,-,a,-,-,f,-,-,-,-,a,s,3,-,-,-,-,-,-,-,-
mser1242,-,-,-,a,-,-,m,-,-,-,-,-,S,i,-,-,-,-,-,-,-,-
mpad1242,-,k,-,a,l,i,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
malg1250,-,-,-,a,-,-,m,-,-,-,-,-,s,3,-,-,-,-,-,-,-,-
chad1249,-,k,-,a,l,i,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
fula1264,-,k,-,a,l,i,m,-,-,-,-,-,-,a,-,-,w,o,l,-,-,-
