language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
kamw1239,k,w,a,-,t,-,-,3,-,k,-,-,-,i,-,-,-,-
suku1272,-,-,-,-,t,-,-,a,-,p,-,-,-,i,-,-,-,-
nyim1251,-,-,-,-,d,-,-,u,-,b,-,-,-,a,-,-,-,-
molo1266,-,-,-,-,h,-,-,3,-,T,-,-,-,e,-,-,-,-
muya1243,-,-,-,-,h,-,-,i,-,y,-,-,-,i,y,e,m,-
muya1243,-,-,-,-,h,-,-,i,-,T,-,-,-,i,-,-,-,-
muya1243,-,-,-,-,k,-,-,-,-,-,-,-,-,o,t,o,m,u
muya1243,-,-,-,-,h,-,-,i,-,y,-,-,-,i,d,-,-,-
wuzl1236,-,-,-,-,z,-,-,e,-,n,-,-,-,e,-,-,-,-
vame1236,-,-,-,-,k,-,-,u,-,T,-,k,-,e,-,-,-,-
vame1236,-,-,-,-,k,-,-,u,-,l,3,N,-,e,-,-,-,-
dugw1239,-,-,-,-,G,-,-,3,-,s,-,-,-,e,-,-,-,-
mere1246,-,-,-,-,g,-,-,3,-,s,i,y,-,e,m,-,-,-
gemz1238,-,-,-,-,k,-,-,3,-,L,-,-,-,a,m,-,-,-
mbuk1243,-,-,-,-,k,-,-,u,-,k,-,w,-,a,r,-,-,-
mbuk1243,-,-,-,-,g,-,-,3,-,L,a,w,-,a,y,-,-,-
mbuk1243,s,-,i,-,k,-,-,-,-,-,-,-,-,e,d,-,-,-
mbuk1243,m,-,3,-,g,-,-,3,-,-,-,v,-,e,t,-,-,-
nort3047,-,-,-,-,g,-,-,i,-,s,-,k,-,e,d,-,-,-
cuvo1236,-,-,-,-,g,w,-,a,-,g,-,w,-,a,y,-,-,-
buwa1243,-,-,-,-,t,-,-,e,-,k,-,-,-,e,d,-,-,-
buwa1243,-,-,-,-,t,-,-,e,p,t,e,p,-,e,-,-,-,-
gava1241,-,-,-,-,t,-,-,e,-,k,-,-,-,i,d,-,-,-
mbed1242,-,-,-,-,t,-,-,e,-,k,-,-,-,3,d,-,-,-
budu1265,-,-,-,-,k,-,-,o,-,m,-,-,-,o,-,-,-,-
lagw1237,-,-,-,-,k,7,-,3,-,l,-,-,-,a,-,-,-,-
mser1242,-,-,-,-,-,m,p,i,-,l,-,-,i,o,-,-,-,-
afad1236,-,-,-,-,k,7,-,3,-,l,-,-,-,a,h,o,-,-
mpad1242,-,-,-,-,k,7,-,o,-,l,-,-,-,o,-,-,-,-
malg1250,-,-,-,-,d,-,-,3,-,s,-,k,p,a,-,-,-,-
maje1243,-,-,-,-,k,w,-,a,-,s,-,-,-,e,-,-,-,-
marg1265,-,-,3,n,T,-,-,a,-,l,-,-,-,a,-,-,-,-
marg1266,-,-,-,-,T,-,-,a,-,l,-,-,-,a,-,-,-,-
kilb1234,-,-,-,-,S,-,-,a,-,l,-,-,-,a,-,-,-,-
bata1314,-,-,-,-,k,p,-,a,-,-,-,-,-,a,-,-,-,-
