language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27
kamw1239,-,7,-,-,-,-,d,-,-,-,a,-,t,-,3,-,-,y,-,-,-,-,-,-,-,o,-
nyim1251,-,t,-,-,-,-,l,-,-,-,-,-,-,-,o,-,-,g,-,-,-,-,-,-,-,a,-
dugw1239,-,m,3,-,b,e,r,e,-,-,-,-,y,n,a,-,-,m,-,-,-,-,-,-,-,e,y
mere1246,-,-,g,-,w,a,d,a,-,-,-,-,y,-,a,-,-,-,-,-,-,-,-,-,-,-,w
gemz1238,-,m,e,t,s,e,r,e,r,k,e,d,i,-,a,-,-,b,-,-,-,-,-,-,-,3,-
nort3047,-,-,-,-,-,-,t,3,-,-,-,-,b,-,a,-,-,b,-,-,-,-,-,-,-,e,-
cuvo1236,-,-,-,-,-,-,-,-,-,-,-,-,y,-,a,-,-,w,-,-,-,-,-,-,-,a,-
buwa1243,-,-,-,-,-,-,l,-,-,-,-,-,-,-,o,m,-,m,-,-,-,-,-,-,-,o,-
gava1241,-,-,-,-,-,-,d,-,-,-,-,-,z,-,3,v,-,m,-,-,-,-,-,-,-,o,-
gava1241,-,-,-,-,-,-,l,-,-,-,-,-,-,-,o,-,-,m,-,-,-,-,-,-,-,-,-
mbed1242,-,-,-,-,-,-,k,-,-,-,-,-,-,-,3,k,u,w,-,-,-,-,-,-,-,u,-
lagw1237,-,-,-,-,-,-,-,-,-,-,-,-,g,-,3,-,-,m,u,n,a,l,-,-,-,e,-
mser1242,i,s,-,-,-,-,-,3,n,-,-,-,k,-,3,-,-,m,-,-,a,t,-,-,-,e,-
afad1236,-,s,-,-,-,-,-,-,-,-,-,-,7,-,a,-,-,m,-,-,a,l,g,o,d,o,-
mpad1242,-,s,-,-,-,-,-,-,-,-,-,-,7,-,a,-,-,m,-,-,-,-,-,-,-,-,-
malg1250,-,L,-,-,-,e,d,3,-,-,-,-,g,-,3,-,-,m,-,-,a,r,g,-,-,e,-
