language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
kamw1239,-,-,-,-,m,3,k,-,u,-,-,S,-,-,i,k,u,S,-,i,-,-,-,-,-,-,-,-,-,-,-,-
muya1243,-,-,-,k,w,-,-,-,e,-,-,s,-,-,e,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-
muya1243,-,-,-,-,m,-,-,-,e,-,-,s,-,-,e,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-
dugw1239,-,-,-,-,m,3,k,-,e,-,-,s,-,-,e,-,-,y,y,y,-,a,m,-,-,-,-,-,-,-,-,-
gemz1238,-,-,-,-,m,a,k,-,o,-,-,s,-,-,a,-,-,-,-,y,-,a,m,-,-,-,-,-,-,-,-,-
mbuk1243,-,-,-,-,-,-,k,w,e,-,-,s,k,w,e,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nort3047,-,y,-,a,m,-,k,r,u,-,-,f,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
cuvo1236,-,y,-,a,m,a,-,-,-,-,-,L,-,-,a,-,-,-,-,y,-,-,m,a,r,g,w,a,d,a,k,w
buwa1243,-,-,-,-,m,-,-,-,o,-,-,d,-,-,o,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-
gava1241,-,-,-,-,N,-,w,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-
kanu1281,n,y,-,a,m,-,-,-,-,-,-,-,-,-,-,-,-,-,n,y,-,a,m,-,-,-,-,-,-,-,-,-
lagw1237,-,s,-,a,m,a,-,-,3,n,n,y,-,-,a,-,-,n,n,y,-,a,n,-,-,-,-,-,-,-,-,-
mser1242,-,s,-,a,m,a,t,-,3,-,-,d,-,-,3,-,-,-,r,s,-,a,-,-,-,-,-,-,-,-,-,-
mpad1242,n,y,-,a,m,-,-,-,-,-,-,-,-,-,-,-,-,-,n,y,-,a,m,i,-,-,-,-,-,-,-,-
malg1250,-,s,i,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,i,a,-,-,-,-,-,-,-,-,-,-
chad1249,n,y,-,a,m,a,-,-,-,-,-,-,-,-,-,-,-,-,n,y,-,a,m,a,-,-,-,-,-,-,-,-
