language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
kamw1239,-,-,-,v,-,-,-,-,-,-,-,-,i,d,-,z,-,o,-,-,-,-
nyim1251,-,-,-,m,-,-,-,-,-,-,-,-,a,d,-,-,-,a,-,-,-,-
molo1266,-,-,-,t,-,-,-,-,-,-,-,-,e,n,-,y,-,e,-,w,-,-
muya1243,-,e,n,y,-,-,-,-,-,-,-,-,3,n,-,y,-,3,-,-,-,-
wuzl1236,-,-,-,t,-,-,-,-,-,-,-,-,a,n,-,z,-,u,-,-,-,-
vame1236,-,-,-,b,-,-,-,-,-,r,-,-,3,t,-,s,h,u,-,-,-,-
dugw1239,-,-,-,m,-,-,-,e,n,d,-,-,e,n,-,y,-,e,-,w,-,-
mere1246,-,-,-,m,-,-,-,e,-,d,-,z,e,n,d,z,-,e,-,w,-,-
gemz1238,-,-,-,m,a,k,w,a,-,d,-,-,-,-,-,-,-,-,-,-,-,-
mbuk1243,-,-,-,m,-,-,-,-,-,-,-,-,a,k,-,w,-,a,k,w,a,d
mbuk1243,d,i,-,m,-,-,-,-,-,-,-,-,3,n,-,d,-,E,-,k,-,-
nort3047,-,-,-,T,-,-,-,-,-,-,-,-,i,n,-,y,-,e,-,w,-,-
cuvo1236,-,-,-,v,-,-,-,e,-,r,n,y,e,n,-,y,-,e,-,w,-,-
buwa1243,-,-,-,m,-,-,-,-,-,-,-,-,e,n,-,y,-,e,-,w,-,-
gava1241,-,-,-,v,-,-,-,-,-,r,-,-,3,t,-,s,-,-,-,-,-,-
mbed1242,-,-,-,m,-,-,-,-,-,-,-,-,3,n,d,Z,-,u,-,w,-,-
mbar1260,-,-,-,f,-,-,-,u,-,l,-,-,a,-,-,y,-,-,-,-,-,-
budu1265,-,-,-,f,-,-,-,3,-,l,-,3,a,-,-,T,-,i,-,-,-,-
kanu1281,-,-,-,k,-,-,-,a,-,n,-,t,a,-,-,n,-,a,-,-,-,-
lagw1237,-,-,-,v,-,-,-,3,-,l,-,-,a,-,-,s,-,3,-,-,-,-
mser1242,-,-,-,v,-,-,-,-,-,l,-,-,a,-,-,s,-,-,-,-,-,-
afad1236,-,-,-,f,-,-,-,3,-,l,-,-,a,-,-,s,-,3,-,-,-,-
mpad1242,-,-,-,f,-,-,-,-,-,l,-,-,a,-,-,s,-,3,-,-,-,-
malg1250,-,-,-,f,-,-,-,3,-,l,-,-,-,-,-,-,-,e,-,-,-,-
chad1249,-,-,-,b,-,-,-,a,u,d,-,-,a,-,-,-,-,-,-,-,-,-
bata1314,-,-,n,g,-,-,-,3,-,l,-,-,a,n,g,t,-,o,-,-,-,-
