language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
molo1266,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,g,-,a,-,h,-,-,-,-,-,-,-,-
muya1243,-,-,h,-,-,-,-,-,-,3,-,N,-,-,-,-,g,i,o,-,h,o,-,-,-,r,-,-,-
muya1243,-,-,s,-,-,-,-,-,-,o,-,m,-,-,-,-,-,-,o,-,y,-,-,-,-,-,-,-,-
wuzl1236,-,-,g,-,-,-,-,-,-,a,-,k,-,-,a,-,g,-,a,-,l,a,-,-,-,k,-,-,-
vame1236,-,-,h,a,d,z,d,i,n,a,-,N,a,-,a,-,w,-,a,-,y,a,-,-,-,Z,3,k,a
dugw1239,-,-,m,-,-,-,-,-,-,e,N,g,e,h,e,y,f,-,a,-,b,a,-,-,-,-,-,-,-
mere1246,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,s,-,3,-,p,a,-,-,-,-,-,-,-
nort3047,-,-,-,-,-,-,-,-,-,-,-,k,e,l,-,-,-,-,e,-,L,-,-,-,-,-,-,-,-
mbuk1243,-,-,t,-,-,-,-,-,-,a,-,k,-,-,a,y,-,-,a,-,l,a,y,i,i,d,e,-,-
cuvo1236,-,-,b,-,-,-,-,-,-,3,-,-,-,l,a,-,f,-,a,n,d,a,-,-,-,-,-,-,-
mbed1242,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,h,-,-,-,-,-,-,-,-
kamw1239,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,S,o,-,-,-,-,-,-,-
lagw1237,d,e,l,-,-,-,-,-,-,a,-,n,-,-,-,-,g,-,a,l,l,3,-,-,-,g,e,-,-
mser1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,a,-,r,a,-,-,-,-,-,-,-
mpad1242,-,-,h,-,-,-,-,-,-,3,-,n,-,-,-,-,k,-,a,-,l,a,-,-,-,g,3,-,-
malg1250,-,-,h,-,-,-,-,-,-,3,-,n,-,-,-,-,k,-,a,-,t,-,-,-,-,-,3,-,-
