language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
molo1266,-,-,-,m,-,-,-,-,3,-,-,-,b,3,-,s,e,-,m,-
wuzl1236,-,-,-,-,-,-,-,-,-,-,-,-,b,3,-,s,i,-,m,-
dugw1239,-,-,-,-,-,-,-,-,-,-,-,-,v,a,-,g,a,i,y,-
nort3047,-,-,-,-,-,-,-,-,-,-,-,-,v,a,-,g,a,-,y,-
cuvo1236,-,-,-,m,-,-,-,-,a,-,t,S,w,a,n,d,a,-,w,-
buwa1243,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,T,e,-,-,-
gava1241,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,T,i,-,-,-
mbed1242,-,-,-,m,-,-,-,-,i,-,t,-,-,-,-,S,e,-,-,-
kamw1239,-,-,-,m,-,d,i,k,3,w,t,-,-,o,w,t,o,-,-,-
suku1272,n,d,a,m,-,-,-,-,u,-,t,-,-,-,-,s,u,-,m,-
lagw1237,-,-,-,b,3,l,-,a,e,-,-,-,m,3,-,t,i,-,-,-
mser1242,-,-,-,m,-,-,-,-,e,-,-,-,-,i,-,t,e,-,-,-
afad1236,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,i,-,b,a
mpad1242,-,-,-,m,-,-,-,-,e,-,-,-,-,y,-,t,i,-,-,-
malg1250,-,-,-,m,-,-,-,-,a,-,-,-,-,i,-,t,e,-,-,-
chad1249,-,-,-,m,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-
