language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
molo1266,-,-,-,g,u,-,-,r,-,-,m,-,-,-,-,-,-,e,-,d,-
muya1243,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,3,-,r,u
muya1243,-,-,-,g,u,-,-,r,-,-,m,-,-,-,-,-,-,e,-,d,-
wuzl1236,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,3,-,r,o
wuzl1236,-,-,-,g,u,-,-,r,-,-,m,-,-,-,-,-,-,e,-,d,-
vame1236,-,k,-,w,i,-,-,d,-,-,N,-,-,g,-,-,-,i,-,l,e
dugw1239,-,m,3,g,u,-,-,L,o,-,m,-,-,b,-,-,-,o,-,r,-
nort3047,-,-,-,w,u,-,-,l,-,-,n,-,-,g,-,-,-,a,-,r,-
mbuk1243,-,m,a,k,u,-,-,l,a,-,n,-,-,g,-,-,w,e,-,d,-
mbuk1243,-,m,a,k,w,-,e,l,-,-,n,-,-,g,-,-,w,e,-,d,-
cuvo1236,-,m,e,-,-,-,-,m,-,-,n,-,-,-,-,-,-,e,-,-,-
buwa1243,-,-,-,-,-,-,-,n,e,m,n,-,-,-,-,-,-,e,-,m,-
mbed1242,-,m,-,-,i,-,-,n,i,m,n,-,-,-,-,-,-,i,-,m,-
bald1241,-,-,-,w,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,i
kamw1239,-,m,-,-,e,-,-,-,-,-,n,-,-,-,-,-,-,e,-,-,-
suku1272,-,m,-,-,i,-,-,-,-,-,n,-,-,y,-,-,-,u,-,k,-
lagw1237,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-
mser1242,-,m,-,-,a,-,-,-,-,-,-,-,-,w,-,-,-,u,-,-,-
afad1236,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
mpad1242,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-
malg1250,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,w,-,-
maje1243,-,n,-,-,i,-,-,-,-,-,n,-,i,y,-,-,-,a,-,-,-
mbar1260,-,n,-,-,i,-,-,-,-,-,n,-,-,-,-,-,-,i,7,d,-
marg1266,k,w,-,-,u,-,-,-,-,-,n,y,i,g,3,r,p,a,-,-,-
bata1314,-,k,-,-,u,-,-,l,a,-,b,-,-,-,-,-,-,e,-,-,-
hwan1240,-,L,-,-,3,-,-,L,3,b,r,-,-,-,-,-,-,a,-,-,-
gaan1243,t,S,-,-,i,t,h,l,3,b,t,-,-,-,-,-,-,a,-,-,-
