language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
dugw1239,-,-,k,u,-,-,-,r,o,w,g,-,-,-,-,-,-,a,-,r,-,-,-,-,s,3,l,a
mere1246,-,-,k,u,-,-,-,r,o,-,g,-,-,-,-,-,-,3,-,r,e,y,e,-,s,u,l,o
nort3047,-,-,k,u,-,-,-,r,u,n,g,-,-,-,-,-,-,a,-,n,-,-,-,-,T,u,w,-
cuvo1236,-,-,k,u,-,-,-,r,a,w,d,a,p,3,y,a,N,a,-,n,-,-,a,a,T,e,w,-
buwa1243,-,-,w,o,-,m,o,h,o,-,g,-,-,-,-,-,-,-,-,-,-,b,-,-,-,o,k,-
gava1241,-,-,w,o,-,m,o,h,o,-,g,-,-,-,-,-,-,-,-,-,-,b,-,-,-,o,k,-
mbed1242,-,-,w,o,m,m,e,d,e,-,k,-,-,-,-,-,-,-,-,-,-,b,-,-,-,3,k,-
lagw1237,x,-,k,-,-,-,-,-,a,n,k,-,-,-,-,-,-,a,-,x,-,-,-,-,s,3,d,a
mser1242,-,-,k,-,-,-,-,-,a,n,d,-,-,-,-,-,-,3,n,k,-,-,-,-,-,i,T,o
afad1236,-,-,k,-,-,-,-,-,a,n,g,-,-,-,-,-,-,o,-,g,-,-,-,a,s,i,-,-
mpad1242,-,-,k,-,-,-,-,-,a,n,g,-,-,-,-,-,-,o,-,g,-,-,-,a,s,i,-,-
malg1250,-,-,k,-,-,-,-,-,a,n,g,-,-,-,-,-,-,a,-,g,-,-,-,-,-,e,n,-
budu1265,h,3,k,-,-,-,-,-,a,n,y,-,-,-,-,-,-,u,-,k,-,-,-,i,x,i,-,-
