language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
wuzl1236,-,-,l,-,a,b,a,r,-,a,-,-,-,-,-
vame1236,-,-,l,-,a,b,a,r,-,a,-,-,-,-,-
dugw1239,m,e,y,w,u,w,e,d,-,a,-,-,k,a,y
nort3047,-,-,l,-,a,b,a,r,-,a,-,-,-,-,-
cuvo1236,-,-,l,-,a,b,a,r,-,a,-,-,-,-,-
buwa1243,-,-,l,-,o,b,o,r,-,o,-,-,-,-,-
gava1241,-,-,-,-,-,w,i,y,m,o,-,-,-,-,-
mbed1242,-,-,l,-,a,b,a,r,-,a,-,-,-,-,-
kamw1239,-,-,h,-,a,b,a,r,-,-,-,-,-,-,-
lagw1237,-,-,l,-,a,b,a,r,-,-,-,-,-,-,-
mser1242,-,-,l,-,a,b,a,r,-,-,-,-,-,-,-
mpad1242,-,-,l,-,a,b,a,r,-,-,-,-,-,-,-
mpad1242,-,-,y,-,a,y,i,r,-,a,-,-,-,-,-
malg1250,-,-,l,-,a,b,a,r,y,a,n,b,l,i,n
budu1265,-,-,h,-,a,b,a,r,-,-,-,-,-,-,-
chad1249,-,-,y,-,a,h,a,r,-,-,-,-,-,-,-
chad1249,-,-,x,-,a,b,a,r,-,-,-,-,-,-,-
