language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28
molo1266,-,-,-,-,-,L,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,k,-
vame1236,t,3,r,b,-,-,-,-,-,-,-,-,-,-,-,i,-,-,y,-,-,-,a,-,-,-,-,-
vame1236,-,-,-,b,u,S,-,-,-,-,-,-,-,-,-,i,-,-,y,-,-,-,a,-,-,-,-,-
dugw1239,-,-,-,m,a,s,-,-,-,-,-,-,-,-,-,i,y,-,b,-,-,-,o,n,-,o,y,-
mere1246,-,-,-,s,a,d,-,-,-,-,-,-,-,-,-,3,r,t,s,-,-,-,3,t,s,e,h,-
nort3047,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,i,-,-,b,-,-,-,o,n,-,o,y,-
mbuk1243,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,3,-,-,m,-,-,-,a,-,-,-,-,-
cuvo1236,-,-,-,-,-,s,-,-,m,-,-,-,-,-,-,a,r,-,g,-,-,-,a,-,-,-,-,-
buwa1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,N,-,g,w,o,-,-,-,v,-
gava1241,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,o,-,-,y,o,k,-,o,-,-,-,-,-
mbed1242,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,u,-,-,w,-,-,-,a,-,-,-,h,-
kamw1239,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,3,l,-,y,-,-,-,i,-,-,-,-,-
lagw1237,-,-,-,-,-,n,-,-,-,g,u,e,l,n,y,i,-,-,b,-,-,-,a,-,-,-,-,-
mser1242,-,-,-,-,-,n,-,-,-,g,3,-,-,n,y,i,-,-,b,-,-,-,a,-,-,-,-,-
mpad1242,-,-,-,-,-,h,3,n,-,-,-,-,-,-,-,-,-,-,b,-,-,-,a,s,-,a,r,i
mpad1242,-,-,-,-,-,s,-,-,-,k,-,-,-,-,-,a,-,-,y,-,-,-,o,-,-,-,-,-
mpad1242,-,-,-,-,-,h,3,n,n,g,3,-,-,n,-,3,-,-,b,-,-,-,u,-,-,-,-,-
malg1250,-,-,-,-,-,n,-,-,-,g,-,-,-,-,-,i,-,-,b,-,-,-,a,-,-,-,-,-
bata1314,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,3,-,-,n,-,-,-,o,-,-,-,-,-
