language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
vame1236,-,m,-,-,-,-,-,3,-,-,d,-,3,-,-,-,-,-,n,-,y,a,s,i,N,g,3,t,-,-,a,n
vame1236,-,z,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,n,-,-,a,-,-,n,-,-,-,-,-,a,-
vame1236,-,b,-,-,-,-,-,u,-,-,w,-,u,-,-,-,-,-,n,-,-,a,-,-,n,-,-,-,-,-,a,-
dugw1239,-,m,-,-,-,-,-,3,-,-,v,-,3,-,-,-,-,-,n,-,-,e,-,-,N,-,-,t,a,d,a,y
mere1246,-,m,-,3,-,d,z,3,-,-,v,-,e,-,-,-,-,-,n,-,-,i,-,-,N,-,-,-,-,-,-,-
nort3047,-,n,g,e,-,d,-,u,-,-,b,-,u,-,-,-,-,-,d,i,g,e,-,-,N,-,-,-,-,-,-,-
cuvo1236,-,-,-,-,-,t,-,-,-,-,-,-,a,-,-,-,-,-,n,-,t,a,-,-,-,-,-,-,-,-,-,-
buwa1243,-,m,-,-,-,b,-,o,-,-,r,-,-,-,-,-,-,-,n,-,-,o,-,-,-,-,-,-,-,-,-,-
gava1241,-,-,-,-,-,-,-,o,-,-,z,-,o,-,-,-,-,-,n,-,-,o,-,m,n,-,-,y,-,-,o,-
mbed1242,-,m,-,u,m,b,-,u,-,-,r,k,o,-,h,w,i,-,n,-,-,-,-,-,-,-,-,d,-,-,e,-
kamw1239,m,b,-,3,-,r,-,o,-,-,k,-,3,m,b,-,3,r,m,-,b,3,-,-,r,-,-,-,-,-,o,-
suku1272,-,h,-,-,-,-,-,u,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,a,-
lagw1237,-,d,-,-,-,-,-,3,v,e,d,-,3,-,-,-,-,-,n,-,t,3,-,-,-,-,-,k,-,-,3,n
mser1242,-,z,-,-,-,-,-,u,-,-,d,-,o,-,-,-,-,-,-,-,r,o,-,-,-,-,-,s,-,-,o,-
mpad1242,-,l,-,-,-,-,-,u,-,-,d,-,o,-,-,-,-,-,-,-,r,o,-,-,-,-,-,s,-,-,o,-
malg1250,-,t,-,-,-,-,-,u,-,-,d,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,s,-,-,a,-
budu1265,-,T,-,-,-,-,-,u,-,-,d,-,u,-,-,-,-,-,-,-,-,3,n,i,n,-,-,d,-,-,3,-
chad1249,-,-,-,-,-,-,-,a,-,-,w,-,a,-,-,-,-,-,l,-,t,a,m,i,-,-,-,s,-,-,-,-
