language,x1,x2,x3,x4,x5,x6,x7
kamw1239,t,-,l,-,y,i,-
psik1239,-,-,L,-,-,i,-
suku1272,-,-,L,u,w,i,y
lama1288,-,-,L,u,w,-,-
nyim1251,-,-,L,u,-,-,-
molo1266,s,e,s,e,-,-,-
wuzl1236,-,-,L,u,-,-,-
vame1236,-,-,L,u,w,e,-
dugw1239,-,-,L,a,w,-,-
mere1246,-,-,L,a,w,-,-
mere1246,-,-,L,a,w,-,-
gemz1238,-,-,L,o,-,-,-
mbuk1243,-,-,L,u,w,e,d
nort3047,-,i,s,e,-,-,-
cuvo1236,-,-,L,a,w,-,-
buwa1243,-,-,L,e,y,-,-
gava1241,-,-,L,i,-,-,-
mbed1242,-,-,L,i,-,-,-
mofu1248,-,a,L,a,w,-,-
bald1241,-,-,n,E,7,-,-
mbar1260,-,-,L,u,k,-,-
budu1265,-,-,x,u,-,-,-
kanu1281,-,-,d,a,-,-,-
lagw1237,-,-,L,u,-,-,-
mser1242,-,-,s,u,-,-,-
mpad1242,-,-,S,u,-,-,-
malg1250,-,-,L,u,-,-,-
zina1234,-,a,s,u,-,-,-
marg1265,-,-,k,u,m,-,-
mafa1239,-,-,L,u,w,e,d
bata1314,h,a,r,a,-,-,-
