language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
molo1266,-,-,-,-,-,-,t,-,-,-,3,-,-,m,b,a,d
molo1266,-,-,-,-,-,-,-,-,-,-,-,-,-,-,v,a,w
muya1243,N,-,-,-,g,-,r,-,-,-,u,-,-,-,f,o,y
muya1243,N,-,-,-,g,-,r,-,-,-,u,-,-,-,f,o,y
muya1243,N,-,-,-,g,u,L,-,-,-,u,-,-,-,f,o,y
muya1243,h,o,T,o,k,o,l,-,-,-,o,-,-,-,m,o,y
wuzl1236,-,-,-,-,-,-,z,-,-,-,u,-,-,-,w,a,y
dugw1239,-,-,-,-,m,-,-,-,-,-,a,-,-,-,b,a,y
nort3047,-,-,-,-,y,i,r,-,w,-,u,d,a,g,w,a,f
cuvo1236,n,-,-,-,d,a,r,-,-,-,-,d,-,-,-,a,-
buwa1243,-,-,-,-,t,3,r,-,-,-,-,-,-,-,v,o,d
buwa1243,N,-,-,-,t,o,-,-,-,-,-,-,-,-,b,-,-
gava1241,-,-,-,-,d,z,r,-,-,-,-,-,-,-,-,3,d
mbed1242,-,-,-,-,t,-,r,-,-,-,-,-,-,-,-,u,d
kamw1239,n,-,-,-,d,a,l,-,-,-,o,-,-,-,m,o,-
lagw1237,-,-,-,-,s,-,7,3,w,-,u,n,-,-,h,e,-
lagw1237,-,-,-,-,s,-,7,3,w,-,u,n,-,-,h,e,-
mser1242,-,-,-,-,s,-,7,-,-,-,u,l,-,-,-,o,-
mser1242,-,-,-,-,s,-,7,-,-,-,u,l,-,-,-,o,-
mpad1242,-,-,-,-,-,-,k,-,u,r,a,-,-,-,h,o,-
mpad1242,-,-,-,-,s,-,7,-,w,-,a,-,-,-,g,3,-
mpad1242,-,-,-,-,s,-,7,-,w,-,a,-,-,-,h,o,-
mpad1242,-,-,-,-,k,-,7,3,m,-,3,-,-,-,s,3,-
malg1250,-,-,-,-,s,-,7,3,w,-,a,d,3,-,h,i,-
malg1250,-,-,-,-,s,-,7,3,w,-,a,d,3,-,h,i,-
bata1314,-,-,-,-,t,-,-,-,-,-,e,-,-,-,b,o,l
