language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23
molo1266,-,-,-,m,-,i,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-
muya1243,-,-,-,m,-,i,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-
muya1243,-,-,-,m,-,i,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wuzl1236,-,-,-,h,-,a,-,-,L,-,3,-,-,k,-,a,-,-,-,-,-,-,-
wuzl1236,-,-,-,-,-,a,s,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-,-
vame1236,-,-,-,d,-,a,-,-,h,-,-,-,-,-,-,a,-,-,-,-,-,-,-
dugw1239,-,-,-,w,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,w
mere1246,-,-,-,w,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,w
nort3047,m,-,-,b,-,u,-,-,r,-,-,-,-,-,-,o,-,-,-,-,-,-,-
mbuk1243,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,o,-,-,-,-,-,-,-
mbuk1243,-,-,-,m,-,3,t,3,t,-,u,-,-,w,-,a,-,-,-,-,-,-,-
cuvo1236,-,-,-,n,-,-,-,-,d,-,a,m,a,g,d,a,-,-,-,-,-,-,-
cuvo1236,-,-,-,n,-,-,-,-,d,-,a,n,-,-,-,a,-,-,-,-,-,-,-
cuvo1236,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-
buwa1243,-,-,-,h,-,e,-,-,y,-,-,-,-,-,-,e,-,-,-,-,-,-,-
gava1241,-,-,-,-,-,o,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
gava1241,-,-,-,h,-,e,-,-,y,-,-,-,-,-,-,i,-,-,-,-,-,-,-
mbed1242,-,-,-,h,-,3,-,-,d,-,-,-,-,-,-,i,d,3,g,3,n,a,k
kamw1239,m,d,i,n,-,-,g,-,l,y,i,-,-,g,-,i,-,-,-,-,-,-,-
psik1239,w,-,u,n,-,-,-,-,d,-,-,-,-,-,-,u,-,-,-,-,-,-,-
suku1272,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,-
suku1272,-,-,-,n,-,-,-,-,d,-,-,-,-,-,-,u,-,-,-,-,-,-,-
lama1288,-,-,u,n,-,-,-,-,d,-,-,-,-,-,-,u,-,-,-,-,-,-,-
lagw1237,-,-,-,m,-,i,-,-,L,-,-,-,-,-,-,a,-,-,-,-,-,-,m
mser1242,-,-,-,b,l,o,-,-,d,-,-,-,-,-,-,a,-,-,-,-,-,-,l
afad1236,-,-,-,-,-,a,-,-,l,-,-,-,-,g,-,3,-,-,-,-,-,-,-
mpad1242,-,-,-,-,-,a,-,-,l,-,-,-,-,g,-,3,-,-,-,-,-,-,-
malg1250,-,-,-,b,-,3,-,-,l,-,-,-,-,-,-,o,-,-,-,-,-,-,-
budu1265,-,-,-,-,-,-,-,-,l,-,u,-,-,g,-,u,-,-,-,-,-,-,-
chad1249,-,-,-,x,-,a,-,-,l,-,i,-,-,g,-,a,-,-,-,-,-,-,-
dghw1239,-,-,-,w,-,u,-,-,d,-,-,-,-,-,-,e,-,-,-,-,-,-,-
