language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14
molo1266,-,-,-,g,-,3,g,-,3,m,a,-,y,-
muya1243,-,-,-,L,-,3,z,-,i,-,-,-,-,-
vame1236,-,-,-,k,-,u,g,-,u,m,a,-,y,-
dugw1239,-,-,-,g,-,3,g,-,3,m,a,-,y,-
mere1246,-,-,-,g,-,u,g,-,o,m,a,-,y,-
nort3047,-,-,-,g,-,u,g,-,u,m,a,-,y,-
mbuk1243,-,-,-,g,-,u,g,-,u,m,a,-,y,-
cuvo1236,-,-,-,g,-,a,g,-,-,m,a,-,y,-
mofu1248,-,-,-,g,-,a,g,-,3,m,a,-,y,-
buwa1243,-,-,-,g,-,o,g,-,3,m,o,-,y,-
gava1241,-,-,-,g,w,o,g,w,o,m,o,-,y,-
mbed1242,-,-,-,g,-,3,g,-,3,m,a,-,y,-
kamw1239,-,-,-,-,-,-,-,-,-,p,a,-,w,a
lagw1237,m,-,-,p,-,a,t,-,-,-,a,k,i,-
mser1242,-,-,-,p,-,a,r,-,-,-,a,k,i,-
afad1236,-,-,-,m,-,3,r,-,-,-,-,-,e,-
mpad1242,-,-,-,s,-,a,r,-,-,-,-,-,e,-
malg1250,-,-,-,y,-,i,r,-,-,-,-,-,e,-
mbar1260,m,a,s,g,-,a,r,-,-,-,a,-,y,-
bata1314,-,-,-,b,-,u,k,-,e,-,-,-,-,-
chad1249,-,-,-,g,-,u,t,-,u,n,-,-,-,-
