language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
wuzl1236,f,3,-,t,e,g,-,-,e,-,-,-,-
dugw1239,m,3,-,-,-,g,-,-,3,m,a,-,-
mere1246,-,a,-,-,-,g,-,-,3,m,a,-,-
nort3047,m,o,-,n,-,g,-,-,-,-,-,-,-
mbuk1243,d,3,-,-,-,L,-,-,-,-,-,-,-
cuvo1236,d,a,w,u,-,d,-,-,a,m,-,-,-
buwa1243,-,m,-,-,-,g,-,b,-,-,o,-,-
mbed1242,-,a,-,-,-,-,-,w,L,-,a,f,-
kamw1239,t,a,-,-,-,g,-,-,u,m,o,-,-
psik1239,-,-,-,-,-,-,-,-,-,p,3,l,e
lagw1237,n,a,-,-,-,g,-,u,a,-,a,-,-
mser1242,d,a,-,-,-,g,-,-,-,-,a,y,-
mpad1242,-,-,-,-,-,-,-,w,-,-,o,-,-
malg1250,-,a,-,-,-,h,a,w,-,-,a,-,-
budu1265,k,3,-,-,-,r,i,d,-,-,3,-,-
bata1314,p,-,-,-,-,-,-,w,-,-,a,-,-
dghw1239,d,u,-,-,-,g,-,w,a,n,a,-,-
