language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25
molo1266,-,-,-,-,-,-,-,-,-,-,s,-,-,3,-,-,g,-,-,-,-,-,e,-,-
muya1243,-,-,-,-,-,-,-,-,-,m,b,-,-,3,-,-,r,-,-,-,n,-,o,-,-
vame1236,-,-,-,S,e,-,-,-,k,m,b,-,-,3,-,-,T,-,-,-,-,-,a,-,-
vame1236,-,-,-,-,-,-,-,-,-,-,b,-,-,a,-,-,l,-,-,-,-,-,a,-,-
dugw1239,-,-,-,-,-,-,-,-,-,-,p,-,-,a,-,-,l,-,-,-,-,-,a,h,-
mere1246,-,-,-,-,-,-,-,-,-,-,m,-,-,a,k,u,l,k,w,a,n,d,a,h,-
mere1246,-,-,-,-,-,-,-,-,-,-,m,-,-,a,k,u,l,k,-,o,n,d,a,h,-
nort3047,-,-,-,-,-,-,-,-,-,-,p,a,p,a,-,-,l,-,-,-,-,-,a,-,-
cuvo1236,-,-,-,s,3,-,-,-,-,-,b,-,-,a,-,-,k,-,-,-,-,-,-,-,-
buwa1243,-,-,-,-,-,-,-,-,-,-,d,-,-,o,-,-,r,-,-,-,L,-,o,m,-
gava1241,-,-,-,-,-,-,-,-,-,-,d,-,-,3,-,-,r,-,-,-,L,-,3,m,-
kamw1239,-,-,-,g,a,-,-,-,-,m,b,-,-,a,-,-,-,-,-,-,-,-,-,-,-
lagw1237,-,-,-,-,-,-,-,-,-,-,b,-,-,a,-,-,r,-,-,-,-,-,a,h,3
mser1242,-,-,-,-,-,-,-,-,-,-,t,-,-,3,s,e,g,-,-,-,-,-,o,s,-
mpad1242,l,a,r,d,3,3,l,n,k,7,w,-,-,a,-,-,l,-,-,-,-,-,i,-,-
mpad1242,-,-,-,t,3,-,n,n,k,7,w,-,-,a,-,-,l,-,-,-,-,-,i,-,-
malg1250,-,-,-,-,-,-,-,-,-,-,b,-,-,a,-,-,l,-,-,-,-,-,a,-,-
chad1249,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,-,-,-,d,-,i,-,-
