language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
molo1266,m,3,n,y,-,-,-,-,-,-,-,a,-,r,-,-
wuzl1236,-,-,-,g,-,-,-,-,w,-,-,a,-,v,o,-
dugw1239,m,3,-,y,-,-,-,3,b,e,y,a,n,y,a,-
mere1246,n,d,-,z,-,-,-,3,-,-,k,i,t,b,o,-
nort3047,m,u,-,z,-,-,-,u,-,-,s,a,n,v,o,-
mbuk1243,-,-,-,-,-,-,-,-,-,-,-,-,-,w,e,L
cuvo1236,-,-,-,T,-,-,-,a,-,-,T,a,l,-,a,-
mbed1242,-,-,-,g,-,-,-,3,-,-,r,-,n,-,a,-
kamw1239,-,-,-,p,-,-,-,-,-,-,-,-,-,-,a,-
mser1242,-,-,-,l,-,-,-,-,-,-,-,a,h,-,a,-
mpad1242,-,-,-,s,-,-,-,-,-,-,-,a,n,-,i,-
malg1250,-,-,-,h,i,r,g,3,m,-,-,a,r,g,e,-
budu1265,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-
bata1314,-,-,-,p,-,-,-,-,-,-,-,a,-,s,a,-
