language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15
vame1236,-,-,-,-,-,b,-,-,-,-,a,b,-,a,k
dugw1239,-,-,-,-,-,v,-,-,-,-,a,r,-,a,k
mere1246,-,-,-,-,-,v,o,-,-,7,a,r,-,-,-
nort3047,-,-,-,-,-,-,-,-,-,-,a,w,-,-,-
cuvo1236,m,-,-,a,N,g,a,l,N,g,a,l,-,-,-
buwa1243,-,-,-,-,-,z,-,-,-,-,3,f,-,e,-
gava1241,-,-,-,-,-,S,-,-,-,-,i,v,-,o,-
mbed1242,-,-,-,-,-,z,-,-,-,-,3,v,-,a,-
lagw1237,-,-,-,-,-,z,-,-,-,-,3,v,g,i,-
mser1242,-,-,-,-,-,s,-,-,-,-,3,f,g,i,-
afad1236,t,-,-,-,-,s,-,-,-,-,3,s,p,i,-
mpad1242,-,-,-,-,-,f,-,-,-,-,3,s,k,3,-
malg1250,-,-,-,-,-,f,-,-,-,-,3,s,k,3,-
masl1241,-,-,-,-,-,s,-,-,-,-,3,s,p,i,-
maje1243,k,u,l,a,-,d,-,-,-,-,i,s,-,a,-
chad1249,-,-,-,-,-,t,-,-,-,-,3,s,-,-,-
