language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
suku1272,-,-,-,-,t,-,-,-,-,-,a,-,-,s,-,-,-,-,a,-
nyim1251,-,-,-,-,k,-,-,-,-,w,a,-,-,b,-,-,-,-,i,-
molo1266,e,-,-,-,-,-,-,-,-,m,e,-,-,l,e,-,k,-,-,-
muya1243,-,-,-,-,-,-,-,-,-,b,o,-,-,l,o,N,g,-,o,-
wuzl1236,-,-,-,-,-,-,-,-,-,w,a,-,-,r,-,-,-,b,a,-
wuzl1236,a,d,a,-,g,-,-,-,-,w,a,-,-,d,a,-,g,w,a,-
wuzl1236,a,d,-,-,-,-,-,-,-,-,i,-,-,s,-,-,-,-,i,-
vame1236,-,-,-,-,m,-,-,-,-,b,i,-,-,l,-,-,k,-,e,-
dugw1239,-,-,-,-,-,-,-,-,-,w,a,y,-,l,-,-,-,-,a,y
gemz1238,-,-,-,-,-,-,-,-,-,d,a,-,-,s,-,-,-,-,a,-
gemz1238,-,-,-,-,-,-,-,-,-,d,a,-,-,s,-,-,-,-,a,y
mbuk1243,-,s,u,-,k,-,-,-,-,w,a,t,-,-,-,-,-,-,a,-
mbuk1243,-,-,-,-,k,-,-,-,-,w,a,l,a,s,-,-,-,-,a,y
mbuk1243,-,-,-,-,7,a,m,s,3,m,a,n,-,y,-,-,-,-,a,y
mbuk1243,-,-,-,-,-,-,-,-,-,m,a,n,-,y,-,-,-,-,a,y
mbuk1243,-,-,-,-,-,-,-,-,-,m,3,-,-,h,u,-,d,-,o,k
nort3047,-,-,-,-,g,-,-,-,-,w,a,t,-,h,-,-,-,-,a,N
cuvo1236,-,-,-,-,n,-,-,-,-,y,3,-,-,l,-,-,-,-,a,y
buwa1243,-,-,-,-,g,-,-,-,-,-,o,v,-,d,-,-,-,-,o,-
gava1241,-,d,e,S,g,-,-,-,-,w,o,-,-,d,-,-,-,-,o,m
mbed1242,-,d,o,N,g,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-
mofu1248,-,-,-,-,-,-,-,-,-,m,a,n,-,y,-,-,-,-,a,y
mofu1248,-,d,a,N,g,w,-,-,a,m,a,n,-,y,-,-,-,-,a,y
mbar1260,-,-,-,-,t,-,-,-,-,u,-,-,-,t,-,-,-,-,a,-
lagw1237,-,-,-,-,k,-,-,-,-,-,-,-,-,r,-,-,-,-,i,-
mser1242,-,-,-,-,k,-,-,-,-,-,3,-,-,r,-,-,-,-,i,-
