language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
wuzl1236,-,-,t,s,a,-,-,-,t,-,s,-,-,-,a,k,w
dugw1239,-,-,t,-,3,-,m,3,l,-,T,-,-,-,e,y,-
mere1246,-,-,l,-,3,t,s,e,d,-,z,-,-,-,3,k,-
nort3047,-,-,t,-,i,-,T,i,-,-,T,-,-,-,e,-,-
cuvo1236,-,-,L,-,a,-,-,-,-,-,T,-,-,-,a,-,-
buwa1243,-,-,-,-,-,-,-,-,-,-,d,-,-,-,e,N,-
gava1241,-,-,g,-,-,-,-,-,-,-,g,-,-,-,o,r,-
mbed1242,-,-,k,-,3,-,-,-,-,-,g,-,-,-,a,r,-
kamw1239,-,-,g,-,i,-,-,-,-,-,r,-,n,g,o,-,-
psik1239,-,-,g,-,3,-,-,-,-,-,r,3,N,-,3,-,-
psik1239,-,-,L,-,3,-,-,-,-,-,t,-,-,-,3,-,-
lama1288,-,-,L,-,3,-,-,-,-,-,y,-,-,-,a,-,-
lagw1237,-,-,h,-,u,-,-,-,n,-,g,-,-,-,a,-,-
mser1242,-,-,-,-,-,-,-,-,-,-,y,-,-,-,o,-,-
afad1236,m,-,-,-,e,-,-,-,l,a,g,-,-,-,o,-,-
mpad1242,m,e,h,-,e,-,-,-,l,a,g,-,-,-,a,-,-
malg1250,-,-,g,-,i,-,-,-,y,a,w,-,-,-,u,n,-
mbar1260,-,-,7,-,-,-,-,-,d,i,g,-,-,-,e,-,-
dghw1239,-,-,g,-,i,-,-,-,-,-,l,-,-,-,a,-,-
