language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38
nyim1251,-,-,-,g,w,-,-,a,n,-,-,g,-,-,-,u,-,-,-,-,-,-,-,-,-,-,m,-,m,-,y,a,-,s,i,-,-,-
dugw1239,-,-,-,k,u,r,-,o,w,-,-,g,-,-,-,a,-,-,-,r,-,-,-,-,T,a,m,-,-,-,-,a,-,k,a,-,r,-
mere1246,-,-,-,k,u,r,-,o,-,-,-,g,-,-,-,3,-,-,-,r,e,y,e,t,s,a,m,-,-,-,-,a,h,k,a,-,r,-
gemz1238,-,-,-,k,u,r,-,o,-,-,-,g,-,-,-,3,-,-,-,r,-,N,a,t,s,a,m,-,-,-,-,a,-,k,a,-,r,-
nort3047,-,-,-,k,u,r,-,u,n,-,-,g,-,-,-,a,-,n,-,d,-,-,-,-,-,a,g,-,-,-,-,a,-,f,a,-,d,-
cuvo1236,-,-,-,k,u,r,-,a,-,-,-,w,d,a,p,3,-,-,-,y,-,-,-,-,-,a,N,a,n,a,T,a,h,k,a,-,r,-
buwa1243,-,-,-,w,o,m,-,o,-,-,-,h,-,-,-,o,-,-,-,-,-,-,-,-,y,o,m,-,-,-,-,o,h,k,o,-,d,-
gava1241,-,-,-,w,o,m,-,o,-,-,-,h,-,-,-,o,-,-,-,d,-,-,-,-,z,o,m,-,-,-,-,o,h,k,o,-,d,-
mbed1242,-,-,-,w,o,m,m,e,-,-,-,d,-,-,-,e,-,k,-,d,-,-,-,-,z,a,m,-,-,-,-,a,-,k,a,-,d,-
kanu1281,w,u,s,k,-,-,-,u,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lagw1237,x,-,-,k,-,-,-,a,n,k,a,v,-,-,-,3,n,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,d,e
mser1242,-,-,-,k,-,-,-,a,n,-,-,d,-,-,-,3,n,v,-,r,-,-,-,-,-,-,-,-,-,-,-,e,-,k,a,-,d,e
afad1236,-,-,-,k,-,-,-,a,n,-,-,g,-,-,-,o,-,g,a,d,-,-,-,-,-,-,-,-,-,-,-,e,-,g,a,-,d,e
mpad1242,-,-,-,k,-,-,-,a,n,-,-,g,-,-,-,o,-,y,i,l,-,-,-,-,-,-,-,-,-,-,-,i,-,g,a,-,d,e
malg1250,-,-,-,k,-,-,-,a,n,-,-,g,-,-,-,a,-,f,-,r,-,-,-,-,-,-,-,-,-,-,-,e,-,g,a,n,d,e
chad1249,-,-,-,t,a,m,-,a,n,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,T,a,-,r,-
