language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16
molo1266,-,-,-,-,-,e,L,e,L,-,-,-,-,-,e,b
muya1243,-,-,-,-,-,e,-,-,L,-,-,-,-,-,i,b
wuzl1236,-,-,-,-,-,a,s,-,l,-,-,-,-,-,a,b
vame1236,m,-,-,-,-,i,n,-,y,-,-,-,-,-,a,-
dugw1239,L,-,-,-,-,e,-,-,L,-,-,-,-,-,e,b
mere1246,L,-,-,-,-,e,-,-,L,-,-,-,-,-,e,b
nort3047,t,-,-,-,-,a,-,-,L,-,-,-,-,-,a,y
mbuk1243,m,-,-,-,-,3,-,-,n,-,-,-,-,-,e,-
cuvo1236,m,a,h,s,l,a,-,-,L,-,-,-,-,-,a,f
buwa1243,m,-,-,-,-,e,-,-,y,3,k,-,3,n,e,-
buwa1243,m,-,-,-,-,o,-,-,y,-,-,-,-,-,o,-
mbed1242,m,-,-,-,-,e,-,-,L,-,-,-,-,-,e,b
kamw1239,n,-,-,d,-,i,-,-,g,-,-,-,u,d,i,-
suku1272,n,-,-,z,-,e,-,-,g,-,-,-,-,-,a,-
lagw1237,-,-,-,-,-,-,-,-,n,-,-,-,a,h,e,-
mser1242,-,-,-,-,-,-,-,-,g,-,-,-,-,r,e,y
afad1236,-,-,-,-,-,e,-,-,r,-,-,-,-,-,e,-
mpad1242,-,-,-,-,-,e,-,-,n,-,-,-,i,-,e,-
malg1250,-,-,-,-,-,e,-,-,n,-,-,-,i,-,e,-
maje1243,-,-,-,-,-,i,-,-,n,-,t,-,a,h,e,-
mbar1260,t,-,-,-,-,i,-,-,n,-,-,-,-,-,e,k
marg1265,-,-,-,-,-,-,-,-,N,-,k,y,u,l,i,-
dghw1239,k,-,-,-,-,a,-,-,f,-,-,-,-,-,a,-
