language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17
muya1243,-,-,-,s,o,w,o,-,-,-,l,-,-,-,-,o,y
muya1243,-,-,-,s,o,w,o,-,-,-,l,-,-,-,-,o,y
vame1236,-,-,-,s,-,-,3,-,-,-,l,-,-,-,-,a,-
dugw1239,-,m,3,s,-,-,u,-,-,-,l,e,y,-,n,a,-
mere1246,-,-,-,s,-,-,o,-,-,-,l,-,-,-,-,a,-
mere1246,-,-,-,s,-,-,o,-,-,-,l,-,-,-,-,a,-
nort3047,-,-,-,s,-,-,u,-,-,-,l,-,-,-,-,a,-
mbuk1243,-,-,-,s,-,-,u,-,w,-,l,-,-,-,-,e,-
cuvo1236,-,-,-,s,-,-,a,-,-,-,l,-,-,-,-,a,-
buwa1243,-,m,-,s,-,-,o,-,-,-,r,-,-,-,-,-,-
gava1241,-,m,-,s,-,-,o,-,-,-,r,-,-,-,-,-,-
mbed1242,-,m,3,s,-,-,a,-,-,-,r,-,-,-,-,-,-
kamw1239,-,-,-,s,-,-,i,-,-,-,r,-,-,-,-,o,-
lagw1237,-,-,-,s,-,-,a,-,-,-,w,-,-,-,-,u,n
mser1242,-,-,-,s,-,-,3,-,-,-,s,-,-,-,-,o,-
afad1236,k,e,-,d,e,g,3,m,b,i,h,-,-,-,-,e,-
mpad1242,-,-,-,s,-,-,3,-,-,-,l,-,y,a,h,o,-
mpad1242,-,n,-,t,-,-,o,-,-,-,h,-,-,-,-,o,-
malg1250,-,-,-,b,-,-,o,-,-,-,f,-,-,-,-,a,-
mbar1260,-,-,-,s,-,-,i,-,-,-,s,-,-,-,-,a,l
