language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
sobe1238,-,-,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,-,m,-,-,a,-,-,n,-,-,-,-,-,-,t,-,-,-,o,-,-,-,-,n,-,-,a,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-,-,-,l,-,-,-,i,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,-,-,N,-,-,a,-,-,n,-,i,-,-,-
mutu1242,-,-,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,-,-,N,-,-,a,-,-,n,-,i,-,-,-
gitu1237,-,-,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,-,-,N,-,-,a,-,-,n,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,-,-,N,-,-,a,-,-,n,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kove1237,-,-,-,a,i,-,u,h,-,-,a,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-
male1289,-,-,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,-,-,N,-,-,a,-,-,-,-,-,-,-,-
male1289,-,-,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,t,-,-,-,a,-,-,-,-,N,-,-,a,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,m,-,-,u,-,-,-,-,-,-,-,-,-,z,-,-,-,u,-,-,-,-,a,-,-,a,-,-,n,-,-,-,-,-
mind1255,-,-,-,-,-,-,-,m,b,-,u,-,-,-,-,-,-,-,-,-,r,-,-,-,u,-,-,-,-,-,-,-,a,-,-,n,-,-,-,-,-
awad1244,-,-,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,e,-,-,u,-,-,-,-,-
ronj1237,-,-,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-,-,-,r,-,u,-,a,-,-,-,-,n,-,-,a,-,-,-,-,-,-,-,-
nana1258,-,-,-,-,-,-,-,m,-,-,a,-,-,-,-,-,-,-,-,-,x,-,u,w,a,-,-,-,-,n,-,-,a,-,-,-,-,-,-,-,-
