language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69
sobe1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-
sobe1238,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-
tarp1240,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,i,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tarp1240,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,i,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,m,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-
arop1242,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,m,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,w,-,o,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,-
numb1247,-,-,-,-,-,-,a,-,-,s,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,w,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tami1290,-,-,-,k,-,-,a,y,d,Z,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,a,-,-,z,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,a,-,-,z,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,-
mala1489,-,-,-,-,-,-,a,-,-,z,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,w,-,a,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,u,-,-,-,-,-
kove1237,-,-,-,-,-,-,a,-,-,r,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bari1286,-,-,-,-,-,-,a,-,-,d,a,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
male1289,-,-,-,-,-,-,-,-,-,n,e,-,i,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
