language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41
kapp1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kove1237,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,N,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
matu1261,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,u,-,-,b,u,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bilb1241,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,o,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mind1255,-,i,-,-,-,u,n,d,3,-,-,-,t,-,-,-,-,-,-,-,-,o,-,-,-,r,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
ronj1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,i,-,-,-,z,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
nana1258,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,a,-,-,-,i,z,-,-,Z,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
sika1261,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-
nuku1259,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-
tong1325,-,-,-,-,-,-,-,-,-,-,-,-,t,u,l,i,m,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
mung1271,-,i,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,o,-,-,-,-,-,-,-,7,-,-,-,a,-,-,k,-,i,-,-,-,-,-,-
tuam1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,k,-,-,u,a,-,-,k,-,u,-,-,-,-,-,-
mang1401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,u,a,-,-,r,-,u,-,-,-,-,-,-
maor1246,-,w,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,a,-,-,-,-,-,-,-,i,-,-,w,a,-,-,-,-,i,-,-,-,-,-,-
ruru1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,7,-,-,u,a,-,-,7,-,u,-,-,-,-,-,-
tahi1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-
hawa1245,-,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,a,-,-,-,-,-,-,-,h,-,-,-,a,-,-,-,-,i,-,-,-,-,-,-
bauu1243,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,a,-,-,-,-,-,-,-,k,a,-,s,a,-,-,s,a,a,-,-,-,-,-,-
bola1250,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,g,-,o,-,-,-,-,-,-
bulu1253,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-,-,-,-,n,-,-,-,-,-,-,g,-,o,-,-,-,-,-,-
mudu1242,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
unea1237,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-
naka1262,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,a,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,u,-,s,-,i,-,-
mera1242,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,s,-,i,-,-
dori1246,-,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,-,a,-,-,-,-,-,-,-,7,a,k,w,a,-,-,s,-,i,-,-,-,-,-,-
