language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
tarp1240,-,-,-,n,-,-,a,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,k,-,-
mala1487,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-
arop1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,k,-,-
sioo1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,e,-,l,-,a
numb1247,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mutu1242,-,i,-,y,-,-,a,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
gitu1237,-,i,-,y,-,-,a,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mala1489,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
mbul1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-
kove1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
bari1286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-
male1289,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-
taki1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,e,-,-,-,-
matu1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,e,-,-,-,-
geda1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,e,-,n,-,-
