language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
kapp1237,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,l,-,-,-,-,-,-,-,-,a,l,-,i,N
kove1237,-,-,-,-,-,-,v,-,-,-,-,-,a,-,-,r,-,-,-,-,-,-,-,-,o,-,-,-,-
male1289,b,-,-,-,-,-,b,-,-,-,-,-,u,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,b,-,-,-,-,-,o,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,b,-,-,-,-,-,o,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,b,-,-,-,-,-,o,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-
bilb1241,-,-,-,-,-,-,b,-,-,-,-,-,o,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-
mind1255,t,-,a,-,-,-,b,-,-,-,-,-,o,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-
nana1258,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,r,-,-,-,-,u,-,-,-,a,-,-,-,-
woge1237,-,-,-,-,-,-,f,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,a,-,-,-,-
mana1295,-,-,-,-,-,-,p,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-
yabe1254,-,-,-,-,-,-,b,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
onto1237,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,k,-,-,-,-,a,-,l,-,a,-,-,-,-
onto1237,-,-,-,-,-,-,m,-,-,-,-,-,e,-,-,-,-,-,-,-,a,-,7,-,e,-,-,-,-
sika1261,-,-,-,-,-,-,t,-,-,-,-,-,a,-,a,t,-,-,-,-,a,-,l,-,a,-,-,-,-
