language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31
rihu1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,h,-,-,-,-,e,-,-,-
haun1237,-,-,-,-,x,-,-,o,-,-,-,-,-,x,-,-,o,-,-,-,-,-,x,-,-,-,-,o,-,-,-
kahu1241,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,x,-,-,-,-,o,-,-,-
tolo1254,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,o,-,-,t,o,-,t,-,-,-,-,o,-,-,-
bira1254,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,o,-,-,t,o,-,t,-,-,-,-,o,-,-,-
tand1254,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,t,a,-,v,-,-,-,-,e,-,-,-
mala1484,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,t,a,-,v,-,-,-,-,e,-,-,-
gela1263,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,v,-,-,-,-,e,-,-,-
gela1263,-,-,-,-,l,-,-,u,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-
surs1246,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-
ramo1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,i,-,-,r
patp1243,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,i,-,-,r
kuan1248,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,i,-,-,r
mini1251,-,-,i,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,i,-,-,-
tiga1245,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,i,-,-,k
tung1290,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,i,-,-,N
lewo1242,-,-,-,-,k,-,-,3,-,-,-,-,-,r,-,-,i,-,-,-,-,-,r,-,-,-,-,i,-,-,-
lame1260,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,i,-,-,-
bier1244,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,o,-,-,-
baki1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,o,-,-,-
maii1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,a,-,l,-,-,-,-,-,-,-,-
ngun1274,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,a,-,-,-
lele1267,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,a,-,-,-
sout2856,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,r,-,-,-,-,-,-,-,-
eton1255,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,r,-,-,-,-,-,-,-,-
nama1268,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-
orko1234,m,-,o,-,k,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,r,-,-,-,-,-,-,-,-
port1286,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,-,-,-,-,-,-,-,-,-
lonw1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,i,-,-,b
nort2839,-,-,-,-,x,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,r,-,-,-,-,-,-,-,-
nort2839,n,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,r,-,-,-,-,-,-,-,-
sowa1244,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-
sowa1244,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,w,-,-,-,-,-,-,-,-
seke1241,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,-
apma1240,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-
apma1240,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,p,-,-,-,-,-,-,-,-
sout2858,-,-,o,-,l,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,o,-,-,-
sout2859,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,h,-,-,-,-,-,-,-,-
navu1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,e,-,-,-
tial1239,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,o,-,-,-
fort1240,-,-,a,-,l,-,-,e,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,e,-,-,-
mere1242,-,-,v,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,v,-,r,-,-,-,-,a,-,-,-
wusi1237,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,r,-,-,-,-,a,-,-,-
tolo1255,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,o,-,-,-
tang1347,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,o,-,-,-
malo1243,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,e,-,-,-
arak1252,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,o,-,-,-
tutu1241,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,o,-,-,-
aore1237,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,i,-,-,-
mafe1237,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,i,-,-,-
tamb1253,-,-,-,-,b,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,a,-,-,-
moro1286,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,o,-,-,-
east2443,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,e,-,-,-
west2513,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,b,-,-,-,-,e,-,-,-
hano1246,w,-,a,i,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,v,-,-,-,-,o,-,-,-
hano1246,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,v,-,-,-,-,o,-,-,-
baet1237,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,b,-,-,-,-,o,-,-,-
leha1244,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-
leha1243,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,N,-,-,-,-,-,-,-,-
motl1237,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,N,-,-,-,-,-,-,-,-
leme1238,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,w,-,-,-,-,-,-,-,-
vure1239,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,-,-,-,-
mota1237,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,r,-,-,-,-,a,-,-,-
mota1237,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,e,-,-,-
nume1241,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,E,-,-,-,-,-,l,-,-,-,-,-,-,-,-
lako1245,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,l,-,-,-,-,e,-,-,-
loto1240,n,-,-,i,b,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,l,-,-,-,-,a,-,-,x
bign1238,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,3,-,-,p
mpot1241,-,-,-,-,v,-,-,-,-,-,-,-,-,w,-,-,a,-,-,-,-,-,l,-,-,-,-,a,-,-,-
mpot1241,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,-
vinm1237,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,-,-,-,-
lare1249,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,r,-,-,-,-,e,-,-,b
sout2857,b,w,a,-,r,-,-,a,-,-,-,b,-,w,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-
aulu1238,n,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,v,-,-,-,-,-,-,-,-
bwen1239,n,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,f,-,-,-,-,-,-,-,-
burm1263,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,f,-,-,-,-,-,-,-,-
papi1254,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,-,-,-,-
nyin1250,-,-,a,-,t,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,h,-,-,-,-,o,-,-,u
nyin1250,-,-,a,-,r,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,o,-,-,u
teop1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,r,-,-,-,-,o,-,-,-
sapo1253,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,a,-,-,t,-,-,s,-,-,i,-,u,-,-,-
bann1247,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,a,-,-,n,i,-,n,-,-,-,-,i,-,-,-
