language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50
numb1247,-,-,-,-,-,-,-,b,u,-,b,-,u,-,-,-,-,-,l,u,m,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,t,a,-,-,-,i,-,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,t,a,-,-,-,i,-,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,t,a,-,-,-,i,-,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,t,a,-,-,-,i,-,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
kove1237,-,-,-,-,-,-,-,b,-,-,-,-,u,-,-,-,-,-,b,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kove1237,-,-,-,-,-,-,-,v,-,-,-,-,u,-,-,-,-,-,v,-,-,u,-,-,-,-,-,h,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
ronj1237,-,-,-,-,-,-,-,s,a,-,-,-,-,-,-,-,-,-,b,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,t,a,-,-,-,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,k,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,-,t,-,-,-,-,i,-,m,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,n,-,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,-,t,-,-,-,-,i,-,m,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,n,-,-,-,-,-,-,-,-,-
matu1261,-,-,-,-,-,-,-,t,-,-,-,-,i,-,m,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-,-,-
matu1261,-,-,-,-,-,-,-,t,-,-,-,-,i,-,m,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,n,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,t,-,-,-,-,i,-,m,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,n,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,t,-,-,-,-,i,-,m,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,n,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,t,-,-,-,-,i,-,m,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,n,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,t,-,-,-,-,i,-,m,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,n,-,-,-,-,-,-,-,-,-
bilb1241,-,-,-,-,-,-,-,t,-,-,-,-,i,-,m,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,n,-,-,-,-,-,-,-,-,-
bilb1241,-,-,-,-,-,-,-,t,-,-,-,-,i,-,m,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,n,-,-,-,-,-,-,-,-,-
wabb1237,-,i,-,-,-,-,-,y,-,-,-,-,a,-,N,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
awad1244,-,-,-,-,-,-,-,s,-,-,-,-,a,-,-,-,-,-,7,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,-,-,-,-
woge1237,-,y,-,-,-,-,-,d,Z,-,-,-,i,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kair1263,-,y,-,-,-,-,-,d,Z,-,-,-,i,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
onto1237,-,p,-,-,u,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,h,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-
