language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
kapp1237,-,-,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,N,-,-,-
mala1487,-,-,-,-,m,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,n,-,a,-
arop1242,-,-,-,-,m,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,a,n,-,a,-
mutu1242,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
kove1237,-,-,-,-,v,o,l,o,-,-,v,-,-,o,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
bari1286,-,-,-,-,v,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,k,-,-,-,-,-,-,-,-,a,-,-,-,t,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-
matu1261,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,r,-,a,-
geda1237,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,z,-,a,n
geda1237,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,z,a,a,n
geda1237,-,-,-,-,t,i,t,u,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bilb1241,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,r,-,a,n
bilb1241,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,k,-,-,-
mind1255,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,r,-,a,n
mana1295,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,r,-,a,-
kair1263,-,r,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,5,-,-,-
onto1237,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
taku1257,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
sika1261,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
sika1261,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
nuku1259,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,o,p,-,o,-,-,t,-,-,o,-,-,-,-,-,-,-,-,-
nuku1260,-,-,-,-,b,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
kapi1249,-,-,-,-,b,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
kapi1249,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
samo1305,-,s,a,-,7,-,-,a,-,-,s,-,-,a,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
samo1305,-,p,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
samo1305,-,p,u,-,7,-,-,u,-,-,p,-,-,u,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
nort2844,-,t,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,e,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,e,-
tiko1237,-,p,u,-,k,-,-,u,-,-,p,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
anut1237,-,-,-,-,n,-,-,o,-,-,-,-,-,u,-,-,-,-,-,-,-,n,-,-,-,o,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
wall1257,-,p,u,-,k,-,-,u,-,-,p,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
tong1325,-,-,-,-,n,-,-,-,-,-,-,-,-,o,-,-,-,-,u,-,-,n,-,-,-,o,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,p,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
mung1271,-,-,-,-,p,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
mung1271,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
mung1271,-,-,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
futu1245,-,-,-,-,s,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
futu1245,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
futu1245,-,h,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
mele1250,-,-,-,-,p,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
toke1240,-,-,-,-,p,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
pile1238,-,-,-,-,p,-,-,o,-,-,p,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
raro1241,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
penr1237,-,s,a,-,k,-,-,a,-,-,s,-,-,a,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
penr1237,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
tuam1242,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
mang1401,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
mang1401,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
mang1402,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
maor1246,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
maor1246,-,-,-,-,h,a,k,a,-,-,h,-,-,a,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
puka1242,-,-,-,-,p,-,-,u,-,-,p,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
puka1242,-,-,-,-,p,-,-,-,-,-,-,-,-,u,n,e,-,k,e,n,e,k,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
puka1242,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
nort2845,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
ruru1237,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
tahi1242,-,-,-,-,p,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
hawa1245,-,-,-,-,p,-,-,o,-,-,-,-,-,o,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,l,-,e,-
rotu1241,-,-,-,-,l,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
