language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37
onto1237,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,a,-,-
sika1261,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,a,-,-
nuku1259,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,a,-,-
nuku1260,-,-,-,-,-,-,-,-,b,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,b,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,-,-,f,a,7,a,p,e,-,-,-,-,-,-,-,e,-,-,-,f,-,-,-,e,-,-,-,-,a,-,-
nort2844,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,a,-,-
tiko1237,-,-,-,-,-,-,-,-,f,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,a,-,-
anut1237,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,e,-,k,-,-,i,-,-
anut1237,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,e,-,k,-,-,i,-,-
east2447,-,-,-,-,-,-,-,-,f,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,7,-,-,a,k,i
east2447,-,-,-,-,-,-,-,-,f,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,7,-,-,a,k,i
east2447,-,-,-,-,-,-,-,-,f,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,7,-,-,e,k,i
east2447,-,-,-,-,-,-,-,-,f,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,7,-,-,e,k,i
east2447,-,-,-,-,-,-,-,-,f,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,f,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,f,-,-,-,-,e,-,-,-,-,-,-,-,a,-,-,-,f,-,-,-,e,-,-,-,-,a,-,i
wall1257,-,-,-,-,-,-,-,-,f,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,a,-,i
tong1325,-,-,-,-,-,-,-,-,f,e,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,e,-,-
niue1239,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,f,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,-,-,-
emae1237,-,-,-,-,-,-,-,-,f,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,-,-,-
mung1271,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,a,-,-
futu1245,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,u,-,-,-,-,a,-,-
west2516,-,-,-,-,-,-,-,-,n,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,a,-,-
west2516,-,-,-,-,-,-,-,-,n,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,a,-,-
mele1250,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,a,-,-
toke1240,-,-,-,-,-,-,-,-,v,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,f,-,-,-,e,-,-,-,-,a,-,-
pile1238,-,-,-,-,-,-,-,-,h,u,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,a,-,-
raro1241,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,a,-,-
penr1237,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,a,-,-
mang1401,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,e,-,-,-,-,a,-,-
raka1237,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,a,-,-
maor1246,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,a,-,-
rapa1244,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,e,-,-
rapa1244,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,-,-,-
rapa1244,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,a,-,-
puka1242,-,-,-,-,-,-,-,-,p,e,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,w,-,-,-,e,-,-,-,-,a,-,-
nort2845,-,-,-,-,-,-,-,-,p,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,h,-,-,-,e,-,-,-,-,a,-,-
ruru1237,-,-,-,-,-,-,-,-,n,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,e,-,-,-,-,a,-,-
