language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34
kapp1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,m,-,-,-,-,-
kapp1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,m,-,-,-,-,-
siss1243,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-
sobe1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,m,-,-,-,-,-
sobe1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,m,-,-,-,-,-
tarp1240,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,m,-,-,-,-,-
arop1242,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,k,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
tami1290,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,N,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
mala1489,-,-,-,-,-,-,-,m,-,-,-,-,a,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-
