language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53
tarp1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,a,-,-,-,w,-,-,-,-,-,-,a,-,-,-,n,-,-
numb1247,-,-,-,-,-,-,g,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,u,-,-,-,b,-,-,-,-,-,-,u,-,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,a,m,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-
bari1286,-,-,-,-,-,-,m,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,r,-,-,-,i,-,-,-,-,-,-,a,-,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-
ronj1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,a,-,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,a,-,-,-,b,-,-,-,-,-,-,a,-,-,-,-,-,-
arop1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-
geda1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-
bilb1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-,-,d,-,-,-,-,-,-,i,-,-,-,-,-,-
awad1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,o,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-
woge1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-
mana1295,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-
onto1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
onto1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,i,-,-,-,-,-,-
sika1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,-,i,-,-,-,-,-,-
nuku1260,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,g,i,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,g,i,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,g,-,-,-,-,-,-,i,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,n,-,-,g,-,-,-,-,-,-,i,-,-,-,-,-,-
mele1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,g,-,-,-,-,-,-,i,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,g,-,-,-,-,-,-,i,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,-,i,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,-,i,-,-,-,-,-,-
west2516,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,-,i,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,g,-,-,-,-,-,-,i,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,g,-,-,-,-,-,-,i,-,-,-,-,-,-
tong1325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,-,i,-,-,-,-,-,-
emae1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,g,-,-,-,-,-,-,i,-,-,-,-,-,-
pile1238,-,-,-,-,-,-,v,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,g,i,-,-,-,-,-,-
pile1238,-,-,-,-,-,-,v,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,g,i,-,-,-,-,-,-
raro1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,g,i,-,-,-,-,-,-
penr1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,g,i,-,-,-,-,-,-
tuam1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,-,i,-,-,-,-,-,-
mang1401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,g,i,-,-,-,-,-,-
raka1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,g,i,-,-,-,-,-,-
raka1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,n,-,-,-,-,-,g,i,-,-,-,-,-,-
rapa1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,g,-,-,-,-,-,-,i,-,-,-,-,-,-
rapa1244,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,a,-,-,-,N,-,-,-,-,-,-,i,-,-,-,-,-,-
