language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
kapp1237,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,-,-,-,-,w,-,-,-,-,-,i,-,-,-,-,a,k,-,-,-
siss1243,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,-,-,w,-,-,-,-,-,u,-,-,-,-,-,n,-,-,-
siss1243,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,-,-,w,-,-,-,-,-,u,-,-,-,-,-,n,-,-,-
sobe1238,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,-,-,-,-,-,-,-,w,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
sobe1238,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,i,-,-,-,-,-,-,-,-,w,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,a,-,-,-,t,-,-,u,-,-,a,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,a,-,-,-,t,-,-,u,-,-,a,-,-,-,-,-,-,-,-,-
tami1290,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,k,-,a,-,-,-,t,-,-,u,-,-,k,-,-,-,-,-,-,-,-,-
tami1290,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,k,-,a,-,-,-,t,-,-,u,-,-,k,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
