language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
mala1487,-,-,-,-,-,p,-,-,-,-,a,-,-,-,-,t,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,k,-,-,-
numb1247,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,b,-,-,-,i,-,-,-,-,N,-,-,-,-,a,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,b,-,-,-,-,o,-,-,-,-,-,-,l,-,-,-,o,-,-,-,-,n,-,a,-,-,i,-,-,-,-,-,-,-,-
mala1489,-,m,-,-,-,b,-,-,-,-,o,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-
male1289,-,-,-,-,-,t,-,-,-,-,o,-,-,-,-,-,-,u,-,-,-,o,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
woge1237,-,-,-,-,-,s,-,-,-,-,e,-,-,-,-,-,-,r,-,-,-,i,-,-,-,-,N,-,-,-,-,a,-,-,-,-,-,-,-,-
mana1295,-,-,-,-,-,s,-,-,-,-,a,-,-,-,-,-,-,r,-,-,-,i,-,-,-,-,N,-,-,-,-,a,-,-,-,-,-,-,-,-
yabe1254,-,-,-,-,-,d,-,-,-,-,a,-,-,-,-,-,-,b,-,-,-,i,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-
onto1237,-,-,-,-,-,N,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
sika1261,-,-,-,-,-,t,-,-,-,-,a,u,-,p,-,i,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
nuku1259,-,-,-,-,-,t,-,-,-,-,a,u,-,p,-,i,-,r,i,m,-,a,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
samo1305,-,-,-,-,-,v,-,a,-,-,a,-,-,-,-,l,a,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
samo1305,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,a,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
nort2844,-,-,-,-,-,p,-,-,-,-,i,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,p,-,-,-,-,i,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
anut1237,-,-,-,-,-,n,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,n,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
tong1325,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,f,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
mung1271,-,-,-,-,-,h,-,i,t,-,a,-,-,-,-,i,a,k,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
futu1245,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
west2516,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,i,a,k,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
mele1250,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
pile1238,-,-,-,-,-,l,-,-,-,-,e,u,e,t,-,h,a,k,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
raro1241,-,-,-,-,-,v,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
penr1237,-,-,-,-,-,v,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
tuam1242,-,-,-,-,-,-,-,-,t,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
tuam1242,-,-,-,-,-,h,-,a,t,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
tuam1242,-,-,-,-,-,f,-,a,t,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
mang1401,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
raka1237,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
maor1246,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
rapa1244,-,-,-,-,-,t,-,u,p,u,a,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
puka1242,-,-,-,-,-,v,a,a,t,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
puka1242,-,-,-,-,-,p,-,i,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-
nort2845,-,-,-,-,-,t,-,-,-,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
ruru1237,-,-,-,-,-,7,-,a,t,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
tahi1242,-,-,-,-,-,f,a,a,t,-,a,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
bauu1243,-,-,-,-,-,v,-,o,-,-,o,-,-,-,-,l,e,k,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-
