language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32
siss1243,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-
sobe1238,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,i,-,-,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-
arop1242,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,m,-,i,-,r,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,i,-,-,-,-,-,-,-,-
tami1290,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,e,t,-,-,o,-,-,-,-,-,-,-,-
mala1489,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,a,-,-,-,i,l,-,-,o,-,-,-,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-
kove1237,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,u,-,-,-,-,-,-,-,-
bari1286,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-
male1289,-,-,n,-,-,a,-,p,-,-,-,-,-,-,-,o,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-
matu1261,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-
