language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39
kapp1237,-,-,-,m,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,u,u,3,N,-,-
sobe1238,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
tarp1240,-,-,-,m,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-
numb1247,-,-,-,d,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-
mutu1242,-,-,-,m,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
mutu1242,-,-,-,m,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
mutu1242,-,-,-,l,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
gitu1237,-,-,-,g,-,-,-,-,-,-,-,-,-,-,o,r,-,-,e,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
gitu1237,-,-,-,l,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-
mala1489,-,-,-,g,-,-,-,-,-,-,-,-,-,-,o,r,-,-,e,-,-,N,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
kove1237,-,-,-,m,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-
