language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43
siss1243,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,k,t,a,-,-,l,-,-,-,-,-,t,-,-,e,-,-,-,-,k,-,-,-,-
mala1487,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mala1487,-,k,u,-,k,-,o,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
arop1242,-,-,-,-,-,-,-,-,k,u,-,-,-,r,u,p,a,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
arop1242,-,-,-,-,-,-,a,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,a,-,b,-,-,e,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,i,-,-,p,-,-,-,-,-,-,-,-,a,-,-,-,-,l,-,-,-,-
gitu1237,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,e,-,-,-,-,N,-,-,-,-
mala1489,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,o,-,-,-,-,k,-,-,-,-
mala1489,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,N,-,-,-,-
mbul1263,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kove1237,-,k,-,-,-,-,e,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
bari1286,-,k,-,-,-,-,e,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
male1289,-,n,-,-,-,-,a,u,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,t,-,-,-,-
taki1248,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
matu1261,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,-,e,-,-,-,-,e,-,-,-,-,-,-,-,-,-
bilb1241,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
mind1255,-,k,-,-,-,-,u,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
awad1244,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ronj1237,-,-,-,-,-,-,u,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
nana1258,-,-,-,-,-,-,u,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
mana1295,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-
kair1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
kair1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,y,-,-,-,-,-,-,-,-,e,-,-,-,-,p,-,-,-,-
kair1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-
onto1237,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
onto1237,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
onto1237,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
sika1261,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
nuku1259,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
nuku1260,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
nuku1260,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
nuku1260,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
nuku1260,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
nuku1260,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,a,-,-,-,-,a,-,-,m,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,-,a,-,-,-,-,i,-,-,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,r,-,-,-,a,-,-,-,-,i,-,-,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,e,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,a,-,-,7,-,a,m,u,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,a,-,-,7,-,a,m,u,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
nort2844,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,k,o,-,-,-,k,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,u,-,-,7,-,-,-,u,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,-,a,-,-,-,-,i,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,l,-,-,-,a,-,-,-,-,i,-,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,k,o,-,-,-,k,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
emae1237,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
emae1237,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
emae1237,-,-,-,-,-,-,-,-,f,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
mung1271,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,-,e,-,g,-,-,e,-,-,-,-,-,-,-,-,-
mung1271,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
mung1271,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
mung1271,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,s,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,r,-,-,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
futu1245,-,m,-,-,-,-,o,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
futu1245,-,m,-,-,-,-,o,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-
