language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36
kapp1237,-,-,-,-,-,-,n,-,-,-,-,-,i,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,i,-,-,-,-,-,-
kapp1237,-,-,-,-,-,-,n,-,-,-,-,-,i,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,i,-,-,-,-,-,-
siss1243,-,-,-,-,-,-,t,-,-,-,a,n,i,-,-,-,e,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sobe1238,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,e,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sobe1238,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,e,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-
tarp1240,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,i,-,-,-,-,-,-
tarp1240,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,i,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,E,-,-,-,-,N,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,m,-,-,-
arop1242,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,k,-,-,-
sioo1240,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,w,-,-,-,-,-,-,-,a,-,-,i,-,-,-
mutu1242,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
mala1489,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
kove1237,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
bari1286,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
male1289,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,e,-,-,-,-,i,-
taki1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,e,-,-,-,-,i,-
matu1261,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,n,n,-,e,n
geda1237,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,a,-,a,-,-,n,-,-,-
geda1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,e,-,-,n,-,-,-
geda1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,e,-,-,n,-,-,-
bilb1241,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,n,-,e,n
mind1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,E,-,-,n,-,-,-
mind1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,E,-,-,n,-,-,-
mind1255,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,n,-,3,-
wabb1237,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wabb1237,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wabb1237,-,-,-,-,-,-,t,-,-,-,-,-,-,-,-,-,i,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,u,-,-,-
