language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44
siss1243,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,k,-,i,-,-,-,-,-,-,y,i,-,3,-,-,-,-,s,-,-,-,-,-,-
sobe1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,i,-,-,-,-,-,-,y,-,-,a,-,-,-,-,s,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,u,-,-,-,-,p,-,-,-,-,i,t
arop1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,i,-,-,n,-,b,-,-,-,-,e,-
sioo1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,s,-,-,u,-,-,N,-,g,-,-,-,-,u,-
numb1247,-,-,-,-,-,-,-,-,-,-,k,-,o,-,t,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,a,-,i,-,-,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,-,-,-,-,k,-,o,-,t,-,a,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,i,-,-,-,-,n,-,-,-,-,a,-
numb1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,y,-,-,u,-,-,-,-,m,-,-,-,-,a,-
mutu1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,z,-,-,u,-,-,-,-,g,-,-,-,-,-,-
mala1489,-,-,-,-,-,-,-,-,-,-,z,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,u,-,-,-,-,-,-,-,-,-,-,-
kove1237,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,o,-,-,-,-,g,-,-,-,-,-,-
matu1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,o,-,-,-,-,g,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,o,-,-,-,-,g,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,o,-,-,-,-,g,-,-,-,-,-,-
bilb1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,o,-,-,-,-,g,-,-,-,-,-,-
mind1255,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,l,u,-,o,-,-,N,-,g,-,-,-,-,3,-
wabb1237,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,u,-,-,-,-,n,-,-,-,-,-,-
wabb1237,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,u,-,-,-,-,n,-,-,-,-,-,-
ronj1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,i,-,-,-,-,-,-,y,-,-,u,-,-,-,-,m,-,-,-,-,-,-
nana1258,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,o,-,-,-,-,-,-,-,-,-,-,-
woge1237,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,a,-,-,-,-,N,-,-,-,-,a,r
mana1295,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-,-,-,-,-,-,-
yabe1254,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,e,-,-,-,-,-,e,-,-,-,-,-,-,k,o,-,o,-,-,-,-,T,-,-,-,-,t,s
yabe1254,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,m,-,-,-,-,-,-
onto1237,-,-,-,-,-,-,-,-,-,-,7,-,a,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
sika1261,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,o,-,-,-,-,-,u,-,-,-,-,-,-,k,o,-,u,-,-,-,-,-,-,-,-,-,-,-
sika1261,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
nuku1259,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,7,a,-,u,-,-,-,-,-,-,-,-,-,-,-
nort2844,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
tong1325,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
emae1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
mung1271,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,u,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
west2516,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,a,-
west2516,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
mele1250,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
toke1240,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
toke1240,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
pile1238,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
raro1241,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
penr1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
tuam1242,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
mang1401,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
mang1401,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
mang1402,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
raka1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,u,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
maor1246,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,h,-,-,-,-,o,e
rapa1244,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
puka1242,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
nort2845,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
ruru1237,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
tahi1242,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
hawa1245,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
nuku1258,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,u,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
niua1240,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,a,-,u,-,-,-,-,-,-,-,-,-,-,-
bauu1243,-,-,-,-,-,-,-,-,-,-,q,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,o,-,-,-,-,-,-,-,-,-,-,-
west2519,-,-,-,-,-,-,-,-,-,-,q,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-
muss1248,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,s,a,s,a,-,-,-,-,-,-,-,-,-,-,-
bola1250,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,u,-,-,-,-,-,-,-,-,-,-,-
bulu1253,-,-,T,-,-,-,-,-,-,-,h,-,-,-,-,-,u,-,-,-,r,-,u,T,h,t,s,h,u,r,-,-,u,-,-,-,-,-,-,-,-,-,-,-
naka1262,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,u,-,-,-,-,-,-,-,-,-,-,-
dori1246,-,-,b,-,a,-,-,-,-,-,r,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,7,a,-,u,-,-,-,-,-,-,-,-,-,-,-
dori1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,s,i,-,u,-,-,-,-,-,-,-,-,-,-,-
wala1266,-,-,-,-,o,-,-,-,-,-,l,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,o,-,-,-,-,-,-,-,-,-,-,-
wala1266,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,s,i,-,u,-,-,-,-,-,-,-,-,-,-,-
