language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59
tami1290,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,a,-,-,-,p,-
mutu1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,a,-,-,w,-,u,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,u,-,-,r,-,u,-,-,-,N,-
mala1489,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,r,p,-,-,a,-,-,p,-,a,-,-,-,-,-
mbul1263,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,N,-
mbul1263,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,N,-
kove1237,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,a,-,l,i,b,-,-,a,l,i,i,k,u,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,u,-,-,r,-,u,-,-,-,-,-
kove1237,-,-,-,-,-,-,-,-,-,-,b,-,-,-,-,-,a,-,l,i,b,-,-,a,l,i,i,k,u,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,r,-,-,-,u,-,-,r,-,u,-,-,-,-,-
taki1248,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-
matu1261,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-
bilb1241,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-
mind1255,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-,l,-,-,-,a,-,-,-,-,u,-,-,-,-,-
mana1295,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,a,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,l,-,-,-,a,-,-,m,-,a,-,-,-,-,-
yabe1254,-,-,-,-,-,-,-,-,-,-,w,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,a,-,-,-,p,-
meng1267,-,-,-,-,-,-,-,-,-,-,s,-,-,-,-,-,a,-,-,i,-,-,-,a,-,-,-,-,-,k,-,-,-,-,e,-,r,-,-,-,-,u,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,-
onto1237,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,u,-,-,l,-,-,-,-,-,-,-,-,i,-,-,-,-,-
taku1257,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,-,a,-,-,-,-,-
