language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
kapi1249,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
nort2844,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,r,e,k,e,r,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
tong1325,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,l,e,k,e,l,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
emae1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
mung1271,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,g,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
west2516,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
mele1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,p,-,-,a,-,-
mele1250,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
toke1240,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,l,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
pile1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,p,-,-,-,-,-,-,-,-,e,-,-,-,-,l,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-
pile1238,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,t,-,-,-,-,u,-,-,-,a,-,-,-,o,n,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
raro1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,p,-,-,o,-,-
raro1241,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,-,-,-,-,-,-
penr1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,p,-,-,o,-,-
tuam1242,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,p,-,-,o,-,-
mang1401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,p,-,-,o,-,-
mang1401,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,-,-,e,-,-,-,p,-,-,o,-,-
mang1402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,n,-,-,e,-,-
mang1402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,-,-,-,-,-,-,e,-,-,-,n,-,u,a,-,-
maor1246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,e,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,e,-,-
