language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42
numb1247,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,N,-,a,a,t,a,-,-,-
tami1290,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,u,-,-,m,-,u,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-
tami1290,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,u,-,-,m,-,u,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-,-,-,g,-,-,-,-,o,-,-,-
kove1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,-
kove1237,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,r,-,-,-,-,a,-,-,-
bari1286,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,d,-,-,-,a,-,-,-,-,-,n,-,-,-,-,-,-,-,-
male1289,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,o,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,a,-,-,-
sioo1240,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,a,-,-,-
sioo1240,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,a,-,-,-
sioo1240,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,a,-,-,-
geda1237,-,-,-,-,-,-,-,-,-,-,k,-,-,-,-,u,-,-,k,u,u,-,-,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-
onto1237,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,i,-,-,-
onto1237,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,N,-,-,-,-,i,-,-,-
nuku1259,-,h,-,a,-,-,-,-,k,a,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-,-
nuku1259,-,h,-,a,-,-,-,-,k,a,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-,-
nuku1260,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-,-
nuku1260,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,m,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-,-
futu1245,-,-,-,-,-,-,-,-,-,-,h,-,-,-,-,-,-,-,m,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-,-
mele1250,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,u,-,-,m,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-,-
mele1250,-,-,-,-,-,-,-,-,-,-,m,-,-,-,-,u,-,-,m,-,u,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,i,-,-,-
