language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49
tarp1240,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,i,-,-,-,-,-,-,-,-,-,-
mala1487,-,-,-,-,-,-,m,-,-,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,-,-,-,-
arop1242,-,-,-,-,-,-,m,-,-,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,k,-,-,-,-,-
arop1242,-,-,-,-,-,-,m,-,-,-,-,-,-,-,i,-,-,-,-,-,r,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,a,-,-,-,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,a,-,-,-,-,N,-,o,-,-,-
numb1247,-,-,-,-,-,-,w,-,-,-,-,-,-,-,i,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,m,-,-,-,-,-,-,-,i,-,n,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
mutu1242,-,-,-,-,-,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,-,-
gitu1237,-,-,-,-,-,-,m,-,-,-,-,-,-,-,i,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
gitu1237,-,-,-,-,-,-,b,-,-,-,-,-,-,-,a,-,d,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,Z,-,-,-,i,-,-,-,-,-,-,-,-,-,-
mala1489,-,-,-,-,-,-,m,-,-,-,-,-,-,-,i,-,-,-,-,-,z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
mala1489,-,-,-,-,-,-,w,-,-,-,-,-,-,-,a,-,-,-,-,-,s,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,e,-,-,-
kove1237,-,-,-,-,-,-,m,-,-,-,-,-,-,-,e,-,-,-,-,-,r,-,-,-,-,-,-,-,-,a,-,-,-,-,m,e,r,-,a,-,-,-,-,-,-,-,-,-,-
bari1286,-,-,-,-,-,-,m,-,-,-,-,-,-,-,e,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
male1289,-,-,-,-,-,-,m,-,-,-,-,-,-,-,e,-,-,-,-,-,r,-,-,-,-,-,-,-,-,a,-,-,-,-,m,e,r,-,a,-,-,-,-,-,-,-,-,-,-
taki1248,-,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
matu1261,-,-,-,-,-,-,m,-,-,-,-,-,-,-,o,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,m,-,-,-,-,-,-,-,u,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-
geda1237,-,-,-,-,-,-,m,-,-,-,-,-,-,-,u,-,-,-,-,-,d,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-
bilb1241,-,-,-,-,-,-,m,-,-,-,-,-,-,-,u,-,n,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-
mind1255,-,-,-,-,-,-,m,-,-,-,-,-,-,-,3,-,n,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,-,-
mind1255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wabb1237,-,-,-,-,-,-,m,-,-,-,-,-,-,-,i,-,-,-,-,-,d,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
wabb1237,-,-,-,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,N,-,-,-,-,-
awad1244,-,-,-,-,-,-,m,-,-,-,-,-,-,-,3,-,-,-,-,-,d,-,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-,-,i,-,-,-,-,-,-,-,-,-,-
awad1244,-,-,-,-,-,-,g,-,-,-,-,-,-,-,a,-,-,-,-,-,r,-,-,-,-,-,-,-,-,u,-,-,-,-,7,-,-,-,u,-,-,-,-,N,-,-,-,-,-
ronj1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,s,-,-,-,-,-,-,-,-,a,-,-,-,-,r,-,-,-,a,-,-,-,-,-,-,-,-,-,-
nana1258,-,-,-,-,-,-,m,-,-,-,-,-,-,-,u,-,-,-,-,-,t,-,-,-,-,u,t,u,N,a,-,-,-,-,n,-,-,-,a,-,-,-,-,-,-,-,-,-,-
woge1237,-,-,-,-,-,-,m,-,-,-,-,-,-,-,i,y,d,-,-,-,Z,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-
kair1263,-,-,-,-,-,-,m,-,-,-,-,-,-,-,i,-,-,-,-,-,y,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,-,-,y,-,-,-,-,-
onto1237,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,N,-,-,-,o,-,-,-,-,h,-,i,-,-,-
sika1261,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,o,-
nuku1259,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,o,-,-,-,-,h,-,i,-,-,-
nuku1260,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,o,-,-,-,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,k,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,n,-,-,-,o,-,-,-,-,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,i,-,-,7,-,-,-,-,-,o,-,-,-,-,-,-,-,-,-,-
