language,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40
siss1243,-,-,-,-,-,-,n,i,l,a,-,-,-,-,-,m,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
siss1243,-,-,-,-,-,-,n,i,l,a,-,-,-,-,-,m,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
sobe1238,-,-,-,-,-,-,t,-,-,e,-,-,-,-,-,m,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,-,-,-,-,-
tarp1240,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,u,-,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
numb1247,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,t,a,m,o,-,-,-,N,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
tami1290,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
tami1290,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,a,-,-,-,l,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
mbul1263,-,-,-,-,-,-,t,-,-,o,-,-,-,-,-,m,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,-,-,m,-,-
kove1237,-,-,-,-,-,-,p,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,n,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kove1237,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
bari1286,e,-,a,-,-,-,v,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,v,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
male1289,n,-,a,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,m,a,o,l,-,-
male1289,n,-,a,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,a,-,m,a,o,l,-,-
sioo1240,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,o,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,o,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,o,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
sioo1240,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,o,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
arop1242,-,-,-,-,-,-,t,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,-,-,l,-,-
arop1242,-,-,-,-,-,-,t,-,-,o,-,-,-,-,-,l,-,-,-,-,-,-,-,-,t,-,-,-,-,-,-,-,o,-,-,-,-,l,-,-
taki1248,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,p,-,-,e,-,-,-,i,n,-,-
taki1248,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,l,-,-,-,-,p,-,-,e,-,-,-,i,n,-,-
taki1248,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,o,-,-,-,l,-,-,-,-,p,-,-,e,-,-,-,i,n,-,-
taki1248,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,o,-,-,-,l,-,-,-,-,p,-,-,e,-,-,-,i,n,-,-
matu1261,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,a,-,-,-,t,-,-,-,-,p,-,-,a,-,-,-,i,n,i,m
matu1261,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,a,-,-,-,t,-,-,-,-,p,-,-,a,-,-,-,i,n,i,m
geda1237,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,o,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
geda1237,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,o,-,-,-,l,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
woge1237,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-,m,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
woge1237,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-,m,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
mana1295,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,w,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
mana1295,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,w,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kair1263,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-,m,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
kair1263,-,-,-,-,-,-,r,-,-,a,-,-,-,-,-,m,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
yabe1254,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,u,-,-,-,-,-,-,-
onto1237,-,-,-,-,-,-,k,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
onto1237,-,-,-,-,-,-,k,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
onto1237,-,-,-,-,-,-,k,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,k,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
taku1257,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
sika1261,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
sika1261,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
sika1261,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
sika1261,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
nuku1259,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,m,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
nuku1260,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
nuku1260,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
nuku1260,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,d,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,d,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
kapi1249,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,f,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,-,-,f,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
futu1245,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
tiko1237,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
anut1237,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,n,-,g,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
samo1305,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
west2516,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
west2516,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
west2516,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,g,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,g,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
east2447,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,g,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,g,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,g,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
wall1257,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,g,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
tong1325,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
tong1325,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
tong1325,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
niue1239,-,-,-,-,-,-,t,-,-,a,-,-,-,-,-,N,-,-,-,-,a,-,-,-,t,-,-,-,-,-,-,-,a,-,-,-,-,-,-,-
